sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Rządził tylko piętnaście lat, o czym świadczy niekompletność wielu jego budowli.	Rządził tylko piętnaście lat, o czym świadczą niekompletność wielu jego budowli.	świadczą	SG -> PL
n01035004	Pomimo opublikowania zdjęcia dziś rano, policja w Kolumbii Brytyjskiej wciąż ma więcej pytań niż odpowiedzi w sprawie najwyraźniej bezdomnego mężczyzny oskarżonego o śmiertelne zranienie nastolatki w szkole w Abbotsford.	Pomimo opublikowania zdjęcia dziś rano, policja w Kolumbii Brytyjskiej wciąż mają więcej pytań niż odpowiedzi w sprawie najwyraźniej bezdomnego mężczyzny oskarżonego o śmiertelne zranienie nastolatki w szkole w Abbotsford.	mają	SG -> PL
n01110006	Przy średniej dozie szczęścia, inwestor posiadający 10000 funtów w obligacjach może spodziewać się, że otrzyma 125 funtów rocznie zysku.	Przy średniej dozie szczęścia, inwestor posiadający 10000 funtów w obligacjach mogą spodziewać się, że otrzyma 125 funtów rocznie zysku.	mogą	SG -> PL
w01007070	W skład policji wchodzi specjalna jednostka obsługująca łodzie patrolowe i obserwacyjne.	W skład policji wchodzą specjalna jednostka obsługująca łodzie patrolowe i obserwacyjne.	wchodzą	SG -> PL
n01022002	Przeprowadzona przez ONZ analiza narodowych planów ograniczenia emisji węgla wskazuje, że są one dalekie od poziomów niezbędnych do utrzymania globalnego wzrostu temperatury poniżej 2 °C.	Przeprowadzona przez ONZ analiza narodowych planów ograniczenia emisji węgla wskazują, że są one dalekie od poziomów niezbędnych do utrzymania globalnego wzrostu temperatury poniżej 2 °C.	wskazują	SG -> PL
w05005083	Sprawy zaczęły ulegać zmianie w październiku 1777 r., kiedy siły brytyjskie pod dowództwem generała Johna Burgoyne’a poddały się w Saratoga w stanie Nowy Jork.	Sprawy zaczęła ulegać zmianie w październiku 1777 r., kiedy siły brytyjskie pod dowództwem generała Johna Burgoyne’a poddały się w Saratoga w stanie Nowy Jork.	zaczęła	PL -> SG
n01059019	Republikańscy ekonomiści przestrzegają przed traktowaniem tych danych jako dowodu gospodarczej nieudolności swojej partii.	Republikańscy ekonomiści przestrzega przed traktowaniem tych danych jako dowodu gospodarczej nieudolności swojej partii.	przestrzega	PL -> SG
n01043005	Szefowie otrzymali również „premię za wyniki” za osiągnięcie lub przekroczenie planów, dzieląc między siebie 1,5 miliona dolarów, czyli średnio około 15000 dolarów na osobę.	Szefowie otrzymał również „premię za wyniki” za osiągnięcie lub przekroczenie planów, dzieląc między siebie 1,5 miliona dolarów, czyli średnio około 15000 dolarów na osobę.	otrzymał	PL -> SG
n05007006	Wierzy, że nikt nie czeka na nas, czekając na nas.	Wierzy, że nikt nie czekają na nas, czekając na nas.	czekają	SG -> PL
n01112012	Konsumenci mogą zwiększyć popyt na zmiany.	Konsumenci może zwiększyć popyt na zmiany.	może	PL -> SG
n02011003	Korzystając z danych z kart debetowych, policja w Essen prowadzi śledztwo w sprawie czterech osób, które biernie przyglądały się, jak w banku umiera emeryt.	Korzystając z danych z kart debetowych, policja w Essen prowadzi śledztwo w sprawie czterech osób, które biernie przyglądały się, jak w banku umierają emeryt.	umierają	SG -> PL
n01133014	Holenderscy studenci jeszcze nie zdecydowali, czy będą komercjalizować swój elektryczny motocykl.	Holenderscy studenci jeszcze nie zdecydował, czy będą komercjalizować swój elektryczny motocykl.	zdecydował	PL -> SG
n01016014	Południowokoreańska firma początkowo uznała za przyczynę wadę baterii i zamieniła własny komponent na baterię innego producenta.	Południowokoreańska firma początkowo uznały za przyczynę wadę baterii i zamieniła własny komponent na baterię innego producenta.	uznały	SG -> PL
n05003010	Zapytane źródła stwierdziły, że jest „w 100% Cospedal”.	Zapytane źródła stwierdziło, że jest „w 100% Cospedal”.	stwierdziło	PL -> SG
n01002058	To, co ona mówi i robi – to jest właściwie niewiarygodne.	To, co ona mówią i robi – to jest właściwie niewiarygodne.	mówią	SG -> PL
n01120010	Historia Dossa jest również nieco niewiarygodna, co tylko dodaje jej atrakcyjności.	Historia Dossa jest również nieco niewiarygodna, co tylko dodają jej atrakcyjności.	dodają	SG -> PL
w01026024	Ilość towaru transportowanego Dunajem wzrosła w 1987 r. do 100 milionów ton.	Ilość towaru transportowanego Dunajem wzrosły w 1987 r. do 100 milionów ton.	wzrosły	SG -> PL
w04002055	W 1976 r. hipodrom nie był już używany; w 1990 r. pożar zniszczył to, co pozostało z drewnianych trybun, które zostały później rozebrane razem ze stajniami.	W 1976 r. hipodrom nie był już używany; w 1990 r. pożar zniszczyły to, co pozostało z drewnianych trybun, które zostały później rozebrane razem ze stajniami.	zniszczyły	SG -> PL
n01123024	Może to nie będzie miało znaczenia, bo nie będę się tym długo martwić.	Może to nie będą miało znaczenia, bo nie będę się tym długo martwić.	będą	SG -> PL
n01150051	— Architektura nie pomoże zmarłym, ale ułatwia zachowanie wspomnień o nich wśród żywych — mówi.	— Architektura nie pomogą zmarłym, ale ułatwia zachowanie wspomnień o nich wśród żywych — mówi.	pomogą	SG -> PL
w01026037	Większość delty Dunaju leży w Rumunii (okręg Tulcz), natomiast jej północna cześć, na lewym brzegu ramienia Kilia, znajduje się w Ukrainie (obwód odeski).	Większość delty Dunaju leżą w Rumunii (okręg Tulcz), natomiast jej północna cześć, na lewym brzegu ramienia Kilia, znajduje się w Ukrainie (obwód odeski).	leżą	SG -> PL
