sent_correct	sent_wrong
"و قال "" إن نا نتوجه ل المشاركة فى مؤتمر ثان . و أعتقد أن ه س يكون فى 8 او 9 مايو ."" و أضاف ان ضابطا برتغاليا بارزا شارك فى المؤتمر الاول الذى عقد الاربعاء الماضى."	"و قال "" إن نا يتوجهون ل المشاركة فى مؤتمر ثان . و أعتقد أن ه س يكون فى 8 او 9 مايو ."" و أضاف ان ضابطا برتغاليا بارزا شارك فى المؤتمر الاول الذى عقد الاربعاء الماضى."
أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.	أحب أن ألعب بذلك وأنا تبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.
بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.	بالطبع, أنا يدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.
بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.	بالطبع, أنا تدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.
أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.	أحب أن ألعب بذلك وأنا يبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.
"""بلاش تفتكر إن ك حصلت على سبق صحفي و تثير الرأي العام فالبيزنس ليس ل ه علاقة ب إسرائيل أو مصر و رأس المال ليس ل ه وطن و لا دين"".."	"""بلاش تفتكر إن ك حصل على سبق صحفي و تثير الرأي العام فالبيزنس ليس ل ه علاقة ب إسرائيل أو مصر و رأس المال ليس ل ه وطن و لا دين"".."
تأكد أن ك تعرفت على كافة الحقائق اللازمة قبل أن تتخذ أي خطوة.	تأكد أن ك تــعرف على كافة الحقائق اللازمة قبل أن تتخذ أي خطوة.
"هذا غريب كنت أعتقد أن ك أسلمت قبل سنوات""."	"هذا غريب كنت أعتقد أن ك أسلم قبل سنوات""."
"بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرفت"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة."	"بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرف"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة."
"هذا غريب كنت أعتقد أن ك أسلمت قبل سنوات""."	"هذا غريب كنت أعتقد أن ك وأسلم قبل سنوات""."
