sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Son règne ne dura que quinze ans, ce qui explique la nature incomplète de beaucoup de ses constructions.	Son règne ne dura que quinze ans, ce qui expliquent la nature incomplète de beaucoup de ses constructions.	expliquent	SG -> PL
n01035004	Malgré la photo rendue publique ce matin, la police en C.B. a dit qu'ils avaient plus de questions que de réponses à propos de le soi-disant sans-abri accusé d'avoir mortellement poignardé une adolescente dans son collège d'Abbotsford.	Malgré la photo rendue publique ce matin, la police en C.B. a dit qu'ils avait plus de questions que de réponses à propos de le soi-disant sans-abri accusé d'avoir mortellement poignardé une adolescente dans son collège d'Abbotsford.	avait	PL -> SG
n01110006	Un investisseur qui a acheté £10 000 d’obligations, et qui a un peu de chance, pourrait espérer recevoir £125 de rendements par an.	Un investisseur qui a acheté £10 000 d’obligations, et qui ont un peu de chance, pourrait espérer recevoir £125 de rendements par an.	ont	SG -> PL
w01007070	Sa police comprend une unité spéciale qui est responsable de les patrouilles et de les bateaux de surveillance.	Sa police comprennent une unité spéciale qui est responsable de les patrouilles et de les bateaux de surveillance.	comprennent	SG -> PL
n01022002	Une étude de les plans nationaux visant à réduire les émissions de carbone, conduite par l'ONU, montre qu'ils sont loin d'avoir les niveaux requis pour contenir l'augmentation de les températures sous le seuil de 2° C.	Une étude de les plans nationaux visant à réduire les émissions de carbone, conduite par l'ONU, montre qu'ils est loin d'avoir les niveaux requis pour contenir l'augmentation de les températures sous le seuil de 2° C.	est	PL -> SG
w05005083	Les choses ont commencé à changer en octobre 1777 lorsque les forces britanniques sous le commandement de le général John Burgoyne se sont rendues à Saratoga, dans le nord de l'État de New York.	Les choses ont commencé à changer en octobre 1777 lorsque les forces britanniques sous le commandement de le général John Burgoyne se est rendues à Saratoga, dans le nord de l'État de New York.	est	PL -> SG
n01059019	Les républicains économistes mettent en garde contre l'utilisation de ces données pour prouver que le parti est lamentable en politique économique.	Les républicains économistes met en garde contre l'utilisation de ces données pour prouver que le parti est lamentable en politique économique.	met	PL -> SG
n01043005	Les directeurs ont également reçu une « prime de rendement » pour atteinte ou dépassement de leurs objectifs ; ils se sont ainsi partagé une enveloppe d'un milliard et demi de dollars, ce qui équivaut à 15 000 dollars en moyenne par personne.	Les directeurs ont également reçu une « prime de rendement » pour atteinte ou dépassement de leurs objectifs ; ils se sont ainsi partagé une enveloppe d'un milliard et demi de dollars, ce qui équivalent à 15 000 dollars en moyenne par personne.	équivalent	SG -> PL
n05007006	Il est d’avis que personne qui nous attend, nous attend.	Il est d’avis que personne qui nous attendent, nous attend.	attendent	SG -> PL
n01112012	Les consommateurs peuvent stimuler la demande de changement.	Les consommateurs peut stimuler la demande de changement.	peut	PL -> SG
