sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Hän hallitsi vain viisitoista vuotta, mikä tulee ilmi hänen monista kesken jääneistä rakennustöistään.	Hän hallitsi vain viisitoista vuotta, mikä tulevat ilmi hänen monista kesken jääneistä rakennustöistään.	tulevat	SG -> PL
n01035004	Huolimatta tänä aamuna julkaistusta kuvasta, Brittiläisen Kolumbian poliisi sanoo, että heillä on enemmän kysymyksiä kuin vastauksia liittyen ilmeisesti kodittomaan mieheen, jota syytetään teinitytön puukottamisesta kuoliaaksi tämän lukiossa Abbotsfordissa.	Huolimatta tänä aamuna julkaistusta kuvasta, Brittiläisen Kolumbian poliisi sanovat, että heillä on enemmän kysymyksiä kuin vastauksia liittyen ilmeisesti kodittomaan mieheen, jota syytetään teinitytön puukottamisesta kuoliaaksi tämän lukiossa Abbotsfordissa.	sanovat	SG -> PL
n01110006	Sijoittaja, jolla on keskinkertainen onni ja 10 000 puntaa kiinni velkakirjoissa voi odottaa saavansa 125 punnan voitot vuodessa.	Sijoittaja, jolla on keskinkertainen onni ja 10 000 puntaa kiinni velkakirjoissa voivat odottaa saavansa 125 punnan voitot vuodessa.	voivat	SG -> PL
w01007070	Sen poliisiin kuuluu erikoisyksikkö, joka hoitaa partio- ja valvontaveneitä.	Sen poliisiin kuuluu erikoisyksikkö, joka hoitavat partio- ja valvontaveneitä.	hoitavat	SG -> PL
n01022002	YK:n tekemässä katsauksessa kansallisiin hiilipäästöjen leikkaussuunnitelmiin sanotaan, että eivät läheskään pääse tasoille, joita tarvitaan, jotta maailmanlaajuinen lämpötilan kohoaminen pysyy alle kahdessa asteessa.	YK:n tekemässä katsauksessa kansallisiin hiilipäästöjen leikkaussuunnitelmiin sanotaan, että eivät läheskään pääse tasoille, joita tarvitaan, jotta maailmanlaajuinen lämpötilan kohoaminen pysyvät alle kahdessa asteessa.	pysyvät	SG -> PL
w05005083	Asiat alkoivat muuttua lokakuussa 1777, kun kenraali John Burgoynen johtamat brittiläiset joukot antautuivat Saratogassa, New Yorkin osavaltion pohjoisosassa.	Asiat alkoivat muuttua lokakuussa 1777, kun kenraali John Burgoynen johtamat brittiläiset joukot antautui Saratogassa, New Yorkin osavaltion pohjoisosassa.	antautui	PL -> SG
n01059019	Republikaanitalousasiantuntijat varoittavat pitämästä näitä tietoja todisteena siitä, että heidän puolueensa on surkea talouspolitiikassa.	Republikaanitalousasiantuntijat varoitamme pitämästä näitä tietoja todisteena siitä, että heidän puolueensa on surkea talouspolitiikassa.	varoitamme	3 -> 1
n01043005	Johtotaso myös sai niin kutsutun ”kannustepalkkion” odotusten saavuttamisesta tai ylittämisestä, ja he jakoivat keskenään 1,5 miljoonan dollarin potin, eli arvion mukaan jokainen sai keskimäärin 15 000 dollaria.	Johtotaso myös sai niin kutsutun ”kannustepalkkion” odotusten saavuttamisesta tai ylittämisestä, ja he jakoivat keskenään 1,5 miljoonan dollarin potin, eli arvion mukaan jokainen saivat keskimäärin 15 000 dollaria.	saivat	SG -> PL
n05007006	Hän uskoo, että kukaan, joka ei odota meitä, ei odota meitä.	Hän uskoo, että kukaan, joka eivät odota meitä, ei odota meitä.	eivät	SG -> PL
n01112012	Kuluttaja voi tehostaa vaatimusta muutokseen.	Kuluttaja voivat tehostaa vaatimusta muutokseen.	voivat	SG -> PL
n02011003	Essenin poliisi tutkii luottokorttitietojen avulla neljää ihmistä, jotka seisoivat ja katselivat vierestä, kun eläkeläinen kuoli pankissa.	Essenin poliisi tutkii luottokorttitietojen avulla neljää ihmistä, jotka seisoivat ja katselivat vierestä, kun eläkeläinen kuolivat pankissa.	kuolivat	SG -> PL
n01133014	Hollantilaiset opiskelijat eivät ole vielä päättäneet, kaupallistavatko he sähkömoottoripyöränsä.	Hollantilaiset opiskelijat ei ole vielä päättäneet, kaupallistavatko he sähkömoottoripyöränsä.	ei	PL -> SG
n01016014	Eteläkorealainen yritys uskoi ensin, että syynä oli akkuvika, ja vaihtoi itse valmistamansa komponentin kolmannen osapuolen akkuun.	Eteläkorealainen yritys uskoivat ensin, että syynä oli akkuvika, ja vaihtoi itse valmistamansa komponentin kolmannen osapuolen akkuun.	uskoivat	SG -> PL
n05003010	Konsultoidut lähteet ovat sanoneet, että se on ”100-prosenttisesti Cospedalin tyyppistä”.	Konsultoidut lähteet on sanoneet, että se on ”100-prosenttisesti Cospedalin tyyppistä”.	on	PL -> SG
n01002058	Mitä hän sanoo ja mitä hän tekee, se - itse asiassa se on uskomatonta.	Mitä hän sanoo ja mitä hän tekevät, se - itse asiassa se on uskomatonta.	tekevät	SG -> PL
n01120010	Dossin tarinassa on myös odottamaton piirre, joka tekee siitä vielä vetoavamman.	Dossin tarinassa on myös odottamaton piirre, joka tekevät siitä vielä vetoavamman.	tekevät	SG -> PL
w01026024	Tonavaa myöten kuljetettujen tavaroiden määrä kasvoi noin 100 miljoonaan tonniin vuonna 1987.	Tonavaa myöten kuljetettujen tavaroiden määrä kasvoivat noin 100 miljoonaan tonniin vuonna 1987.	kasvoivat	SG -> PL
w04002055	Vuonna 1976 kilparataa ei enää käytetty, ja vuonna 1990 tulipalo tuhosi jäljellä olevat osat puisista pääkatsomoista, jotka myöhemmin purettiin samaan aikaan tallien kanssa.	Vuonna 1976 kilparataa ei enää käytetty, ja vuonna 1990 tulipalo tuhosivat jäljellä olevat osat puisista pääkatsomoista, jotka myöhemmin purettiin samaan aikaan tallien kanssa.	tuhosivat	SG -> PL
n01123024	Ehkäpä se ei haittaa, koska en ole kauaa levoton.	Ehkäpä se eivät haittaa, koska en ole kauaa levoton.	eivät	SG -> PL
n01150051	”Arkkitehtuuri ei auta kuolleita ihmisiä, mutta se auttaa pitämään heidän muistonsa elossa elävien keskellä”, hän sanoo.	”Arkkitehtuuri ei auta kuolleita ihmisiä, mutta se auttaa pitämään heidän muistonsa elossa elävien keskellä”, hän sanovat.	sanovat	SG -> PL
w01026037	Suurin osa Tonavan suistosta sijaitsee Romaniassa (Tulcean maakunnassa), kun taas sen pohjoisosa Chilian haaran vasemmalla rannalla sijaitsee Ukrainassa (Odessan oblastissa).	Suurin osa Tonavan suistosta sijaitsee Romaniassa (Tulcean maakunnassa), kun taas sen pohjoisosa Chilian haaran vasemmalla rannalla sijaitsevat Ukrainassa (Odessan oblastissa).	sijaitsevat	SG -> PL
w01035081	Maatalousmaa voi itse asiassa kärsiä ympäröivän maiseman tuhoutumisesta.	Maatalousmaa voivat itse asiassa kärsiä ympäröivän maiseman tuhoutumisesta.	voivat	SG -> PL
w01105057	Se oli niin menestyksekäs, että armeija jatkoi sen käyttämistä monta vuotta sodan jälkeen, ja se oli käytössä joissain maissa vielä 1980-luvulla.	Se oli niin menestyksekäs, että armeija jatkoivat sen käyttämistä monta vuotta sodan jälkeen, ja se oli käytössä joissain maissa vielä 1980-luvulla.	jatkoivat	SG -> PL
