sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	그는 단 15년간 재임했으며이는 그가 세우던 다수의 건축물 중 미완성된건물을 통해 알 수 있다.	NA	NA	NA
n01035004	오늘 아침에 배포된사진에도 불구하고 B.C. 경찰은 애버츠포드 고등학교 십대 여학생을 칼로 찔러 죽게 한 혐의로 기소된노숙자에 대해 알아낸 것보다 모르는 것이 더 많다고 말했다.	NA	NA	NA
n01110006	평범한 행운의 소유자이며 10,000파운드의 채권에 투자한투자자는 연간 125파운드의 상금을 받게 될 것으로 예상할수 있다.	NA	NA	NA
w01007070	경찰 병력에 순찰과 감시용보트를 운영하는특수 부대가 포함된다.	NA	NA	NA
n01022002	탄소 배출 감축을 위한 국가 계획에 대한 UN의 검토는 그 계획들이 세계 온도 상승을 섭씨 2도 이하로 제한하기에는 한참 못 미치는 수준이라는 것을 말해준다.	NA	NA	NA
w05005083	존 버고인 장군이 이끄는 영국군이 뉴욕주 북부 사라토가에서 항복을 했던 1777년 10월 이후 상황이 변하기 시작했다.	NA	NA	NA
n01059019	공화당 경제학자들은 공화당의 경제 정책이 엉망이라는 증거 자료로 이 데이터를 내밀지 말라고 경고했다.	NA	NA	NA
n01043005	임원들은 예상 목표를 달성하거나초과 달성한공로로 150만 달러의 거금을 나눠 갖거나 각자 평균 약 15,000달러를 받는 등 이른바 "성공 보수"를 받았다.	NA	NA	NA
n05007006	그는 우리를 기다리는 그 누구도 우리를 기다리지 않는다고 믿는다.	NA	NA	NA
n01112012	소비자는 변화에 대한 수요를 증진시킬수 있다.	NA	NA	NA
n02011003	직불 카드 데이터의 도움으로 에센 지역 경찰은 한 퇴직자가 강둑에서 죽어 가는 동안 옆에 서서 지켜보고 있던 네 사람을 조사하고있다.	NA	NA	NA
n01133014	네덜란드 학생들은 자신들의 전자 오토바이를 상업화할것인지 아직 결정하지못했다.	NA	NA	NA
n01016014	대한민국 소재 회사는 처음에는 배터리 결함으로 인해발생한문제라고 생각하고자사 배터리 부품을 타사 파워셀로 교체했다.	NA	NA	NA
n05003010	참고 출처는 그것이 "100% 코스페달"이라고 이야기했다.	NA	NA	NA
n01002058	그녀가 하는 말과 그녀가 하는 행동은 사실, 믿을 수 없을 정도이다.	NA	NA	NA
n01120010	도스의 이야기는 믿을 수 없을 정도로 특별해서더욱더 호소력 있게 다가온다.	NA	NA	NA
w01026024	다뉴브강을 이용한물동량은 1987년 약 1억 톤으로 증가하였다.	NA	NA	NA
w04002055	1976년 경마장이 문을 닫았으며, 1990년 화재로 인해목재로 된 큰 스탠드가 타버렸고 그 잔해는 축사와 함께 나중에 철거되었다.	NA	NA	NA
n01123024	제가 오래 애먹지도 않을 테니 아무래도 상관 없어요.	NA	NA	NA
n01150051	그의 말에 따르면, 건축은 죽은 자에게는 도움이 안 되지만 산 자들이 죽은 자들을 잊지 않게 하는 데 도움이 된다.	NA	NA	NA
w01026037	다뉴브강 델타 지역의 대부분은 루마니아(툴체아 카운티)에 속해 있으며 칠리아의 지배를 받고 있는 왼쪽 지역은 우크라이나(오데사 오블라스트)에 위치하고있다.	NA	NA	NA
w01035081	실제 농지는 주변 환경 파괴로 인해영향을 받을 수 있다.	NA	NA	NA
w01105057	그것은 상당히 성공적이었고 군은 전쟁 이후에도 이를 수년간 계속 사용했으며, 몇몇 국가에서는 1980년대에도 사용했다.	NA	NA	NA
w01084102	16세기 서양과의 조우를 통해 노다지와 같은 교역로가 세워지면서 상당한경제 성장이 계속되는시기를 맞이하였다.	NA	NA	NA
w01092032	산업혁명은 기계에서 사용하는금속 부품에 대한 수요를 창출하였다.	NA	NA	NA
w01010044	기원후 6세기 슬라브족이 국가를 창설하기전 민족 대이동 기간 동안에 다양한게르만과 많은 슬라브 민족이 모라비아를 가로질렀다.	NA	NA	NA
n01084008	이론적으로 보면, 한 부부가 계좌를 네 개 개설할수 있고 12,000파운드 – 360파운드의 은행 잔고에 대해 3% 수익을 거둘 수 있다.	NA	NA	NA
n01105013	그러나 지금 당장은 모든 일이 틀어져 버렸고 그는 항상 해답을 찾고 있는 것 같다.	NA	NA	NA
n01051004	텍사스 플레이노에 사는 임산부 마가렛 부머는 처음에는 일반적인 초음파 검사를 받았지만 뱃속의 아기가 희귀 질환에 걸렸고 수술을 받아야 아기가 살 수 있다는 진단을 받은 후부터는 복잡한 초음파 검사를 받게 되었다.	NA	NA	NA
n01080042	나는 그들과 함께 그것을 지켜보고 싶었지만, 그들은 결국 내가 없는 곳에서 보기로 결정했다.	NA	NA	NA
n03004003	11월 3일 목요일 생고뎅시 시장(오트-가론 지역)은 2014년 정부와 체결한도심 개발 계약을 중단하기로 결정했다.	NA	NA	NA
n01082014	“신용 대출자가 점점 늘고 있는데 지금은 대출금을 관리할수 있는 수준일지 몰라도 상황이 급변하면빚더미에 올라앉을 수 있다."	NA	NA	NA
n01069006	2010년까지 부유한 교외 주민들을 대표했던자유민주당은 사라 올니를 후보로 내세워 표심을 되찾아 올 수 있기를 희망하고있다.	NA	NA	NA
w01001049	상인 협회의 수립이 선언문을 통해 가능해졌는데협회는 자치구를 통과하는사람들을 대상으로 세금을 징수하는마을의 대의원들에 의해 운영되었다.	NA	NA	NA
w05006058	반면 외부 역사는 스페인어 사용자의 역사, 역사적인 우여곡절 및 언어의 사회적사용에 대한 참고를 포함하고있다.	NA	NA	NA
w05010026	그러나 원로원으로부터 집정관과의 대결을 금지하고군대를 철수할것인지, 아니면 공공의 적이 될 것인지 결정하라는결의에 찬 답을 받았을 때 그는 어떤 선택을 하던지 비무장 상태로 항복해정적들에게 포위될것이라는 사실을 인지하였다.	NA	NA	NA
w01144063	공화당은 1952년 이래로 처음으로 상원 다수를 차지했고하원에서 34석을 차지했지만민주당이 여전히 다수당이었다.	NA	NA	NA
w03010098	1948년 봄, 틴틴을 영화화하려는희망을 갖고 이 벨기에 작가는 월트 디즈니에 지원을 요청하는서신을 보냈지만 수포로 돌아갔다.	NA	NA	NA
n01090004	나는 모터크로스를 보았는데 보면 볼수록 이 한 여성의 얼굴이 1970년대에 찍은 것 같은 사진들 속에 계속 등장했다.	NA	NA	NA
w01045002	캐러비안이라는 이름은 카리브에서 파생된것으로 15세기 후반 유럽 세력이 이 지역에 도달하던당시 주요 아메리카 원주민 중 하나였다.	NA	NA	NA
n01022010	에릭 솔하임 유엔환경계획 사무총장은 우리가 올바른 방향으로 나아가고 있다며, 수소불화탄소(HFC) 감축을 골자로 한 최근의 키갈리 협정(Kigali Amendment)처럼 파리 기후 협약을 통해서도 기후 변화 속도가 늦추어질 것이라고 말했다.	NA	NA	NA
w04009042	그 남자는 자신과 월터가 예상한것처럼 두 은하계사이의 전쟁이 다가오고 있다고 말했고, 이런 이유로 올리비아는 그 중에서도 어린이로서 훈련을 받았다.	NA	NA	NA
w01132042	페텐 및 우악삭툰 지역의 데이터에서 나타난 패턴은 해당 지역이 마야 저지대의 문화 발전에 들어맞는다는 것을 확인시켰다.	NA	NA	NA
n01049022	마리화나 판매가 합법인 콜로라도주 덴버에 있는 본사 직원 디트리히는 이 품종이 요통과 구토 완화에 도움이 되고 숙면을 돕는다고 말했다.	NA	NA	NA
n01053041	레이비는 그녀의 목소리가 말 그대로 전 세계를 누비고 다녔다고 말했다.	NA	NA	NA
n01133022	할리 데이비슨 대변인은 언론에 떠도는 시점(2017년 또는 2020년)은 정확한것이 아니라고 밝혔다.	NA	NA	NA
w02013033	수에즈 위기는 변화하는세계 속에서 영국, 프랑스 같은 구 식민 강대국의 한계를 드러낸 사건이다.	NA	NA	NA
w03005014	기원전 9세기부터 최초의 그리스 문자가 등장하기시작했다.	NA	NA	NA
n01107006	또한 그 스캔들로 인해폭스바겐을 상대로 하여 거액의 손해 배상 청구와 소송이 제기되었고폭스바겐은 벌금으로 160억 유로를 물게 되었다.	NA	NA	NA
w01125034	윌크스는 재선되었고두 번 더 쫓겨났으며 그 전에 하원에선 그의 후보자격이 무효하다고 결론을 내린 후 2위 후보를 승자로 발표하였다.	NA	NA	NA
n01085011	놀랍게도, 산성 비구름이라도 뒤쪽은 은빛으로 빛날 수 있다.	NA	NA	NA
w01053062	후자의 경우 예외적으로 윤달을 당해에 삽입하는경우 금요일이 될 수밖에 없었지만 이는 뉴턴이 선호한방식이었다.	NA	NA	NA
w01025084	이번 퇴각은 오스트리아-프러시아군 에게는 상당히 놀랍게 다가왔으며 그 결과 거의 모든 덴마크 병력이 완벽히 탈출할수 있었다.	NA	NA	NA
n02031071	한 터키인 직원이 그만두면, 터키 노동자 협의체가 온다.	NA	NA	NA
n01073004	누가 이 오스트레일리아 측을 멈출 수 있는가?	NA	NA	NA
n01006011	한 목격자의 경찰 진술에 따르면 피해자가 4월에 용의자를 공격했었다고 한다.	NA	NA	NA
n01112014	1월의 주요 보고에 따르면, 쓰레기가 바다로 흘러 들어가는 것을 막기 위해 세계가 근본적인 조치를 취하지 않으면 2050년 무렵에는 바다에 물고기보다 플라스틱이 더 많아질 것이라고 한다.	NA	NA	NA
n01035013	B.C. 경찰은 앞서 클레인에게 범죄 경력이 없다고 말했고그의 최근 행방에 대해 가능한자세하게 밝혔다.	NA	NA	NA
n01108005	매출 전망이 여전히 낙관적이어서 소매 및 도매 사업이 확장되었고, 고객 서비스 회사들도 성장했다.	NA	NA	NA
w01072079	3세기까지 카라칼라 황제는 새로 반도를 분할하였지만이 반도는 짧은 기간에만 존재했다.	NA	NA	NA
w01007087	현재 개간 사업에는 퐁비에유 지역의 확장이 포함된다.	NA	NA	NA
n01043014	연간 예산이 14억 달러를 넘고, 직원 수는 6,000명을 넘는다.	NA	NA	NA
