sen,verb,verb_idx,cop,cop_idx,child,child_idx,child_features,child_upos,head,head_idx,head_features,head_upos,distance,attractors,metadata,swap_head,feature_vals,prefix,wrong_sen,congruent_attractors,incongruent_attractors,num_attractors,num_congruent_attractors,num_incongruent_attractors,has_attractors,only_has_congruent_attractors,only_has_incongruent_attractors,sample_weight,phenomenon,lang,grammatical_feature,ungrammatical_feature,wo,inflect_item,agreement_certainty
"و قال "" إن نا نتوجه ل المشاركة فى مؤتمر ثان . و أعتقد أن ه س يكون فى 8 او 9 مايو ."" و أضاف ان ضابطا برتغاليا بارزا شارك فى المؤتمر الاول الذى عقد الاربعاء الماضى.",نتوجه,5,,,نا,4,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'هُوَ'}",PRON,نتوجه,5,"{'Aspect': 'Imp', 'Gender': 'Masc', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'تَوَجَّه'}",VERB,1,[],"{'newpar id': 'xinhua.20030503.0173:p4', 'sent_id': 'xinhua.20030503.0173:p4u1', 'text': 'وقال "" اننا نتوجه للمشاركة فى مؤتمر ثان . واعتقد انه سيكون فى 8 او 9 مايو ."" واضاف ان ضابطا برتغاليا بارزا شارك فى المؤتمر الاول الذى عقد الاربعاء الماضى.', 'treebank': 'UD_Arabic-PADT/ar_padt-ud-train.conllu'}",يتوجهون,1 -> 3,"و قال "" إن نا","و قال "" إن نا يتوجهون ل المشاركة فى مؤتمر ثان . و أعتقد أن ه س يكون فى 8 او 9 مايو ."" و أضاف ان ضابطا برتغاليا بارزا شارك فى المؤتمر الاول الذى عقد الاربعاء الماضى.",[],[],0,0,0,False,False,False,0.7999999999999999,SV-P,arb,1,3,SV,verb,?
أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.,أبحث,7,,,أنا,6,"{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'هُوَ'}",PRON,أبحث,7,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'Voice': 'Act', 'lemma': 'بَحَث'}",VERB,1,[],"{'newdoc id': 'n01090', 'sent_id': 'n01090037', 'text': 'أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.', 'original_text': 'أحب أن ألعب بذلك وأنا أبحث دوما عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جدا أن أصنع مجموعة عندما أجد مصدرا للوحي.', 'text_en': 'I love to play with that and I am always looking for muses that fit that bill because it is so interesting making a collection when I find one.', 'treebank': 'UD_Arabic-PUD/ar_pud-ud-test.conllu'}",تبحث,1 -> 2|3,أحب أن ألعب بذلك وأنا,أحب أن ألعب بذلك وأنا تبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.,[],[],0,0,0,False,False,False,0.0499999999999999,SV-P,arb,1,3,SV,verb,?
"بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.",أدرك,4,,,أنا,3,"{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'هُوَ'}",PRON,أدرك,4,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'Voice': 'Act', 'lemma': 'أَدرَك'}",VERB,1,[],"{'newdoc id': 'n01078', 'sent_id': 'n01078025', 'text': 'بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.', 'original_text': 'بالطبع, أنا أدرك تماما أن علينا فصل ألمانيا المعاصرة عن النظام النازي.', 'text_en': 'Of course, I do understand that modern-day Germany must be separated from the Nazi regime.', 'treebank': 'UD_Arabic-PUD/ar_pud-ud-test.conllu'}",يدرك,1 -> 3,"بالطبع, أنا","بالطبع, أنا يدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.",[],[],0,0,0,False,False,False,0.0499999999999999,SV-P,arb,1,3,SV,verb,?
"بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.",أدرك,4,,,أنا,3,"{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'هُوَ'}",PRON,أدرك,4,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'Voice': 'Act', 'lemma': 'أَدرَك'}",VERB,1,[],"{'newdoc id': 'n01078', 'sent_id': 'n01078025', 'text': 'بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.', 'original_text': 'بالطبع, أنا أدرك تماما أن علينا فصل ألمانيا المعاصرة عن النظام النازي.', 'text_en': 'Of course, I do understand that modern-day Germany must be separated from the Nazi regime.', 'treebank': 'UD_Arabic-PUD/ar_pud-ud-test.conllu'}",تدرك,1 -> 3,"بالطبع, أنا","بالطبع, أنا تدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.",[],[],0,0,0,False,False,False,0.0499999999999999,SV-P,arb,1,3,SV,verb,?
أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.,أبحث,7,,,أنا,6,"{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'هُوَ'}",PRON,أبحث,7,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'Voice': 'Act', 'lemma': 'بَحَث'}",VERB,1,[],"{'newdoc id': 'n01090', 'sent_id': 'n01090037', 'text': 'أحب أن ألعب بذلك وأنا أبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.', 'original_text': 'أحب أن ألعب بذلك وأنا أبحث دوما عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جدا أن أصنع مجموعة عندما أجد مصدرا للوحي.', 'text_en': 'I love to play with that and I am always looking for muses that fit that bill because it is so interesting making a collection when I find one.', 'treebank': 'UD_Arabic-PUD/ar_pud-ud-test.conllu'}",يبحث,1 -> 3,أحب أن ألعب بذلك وأنا,أحب أن ألعب بذلك وأنا يبحث دوماً عن مصادر الوحي التي تفي بذلك الغرض لأنه من الرائع جداً أن أصنع مجموعةً عندما أجد مصدراً للوحي.,[],[],0,0,0,False,False,False,0.0499999999999999,SV-P,arb,1,3,SV,verb,?
"""بلاش تفتكر إن ك حصلت على سبق صحفي و تثير الرأي العام فالبيزنس ليس ل ه علاقة ب إسرائيل أو مصر و رأس المال ليس ل ه وطن و لا دين""..",حصلت,5,,,ك,4,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs', 'lemma': 'هُوَ'}",PRON,حصلت,5,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'Voice': 'Act', 'lemma': 'حَصَل'}",VERB,1,[],"{'newpar id': 'ummah.20040407.0023:p5', 'sent_id': 'ummah.20040407.0023:p5u1', 'text': '""بلاش تفتكر إنك حصلت على سبق صحفي وتثير الرأي العام فالبيزنس ليس له علاقة بإسرائيل أو مصر ورأس المال ليس له وطن ولا دين""..', 'treebank': 'UD_Arabic-PADT/ar_padt-ud-train.conllu'}",حصل,2 -> 3,"""بلاش تفتكر إن ك","""بلاش تفتكر إن ك حصل على سبق صحفي و تثير الرأي العام فالبيزنس ليس ل ه علاقة ب إسرائيل أو مصر و رأس المال ليس ل ه وطن و لا دين""..",[],[],0,0,0,False,False,False,0.2857142857142857,SV-P,arb,2,3,SV,verb,?
تأكد أن ك تعرفت على كافة الحقائق اللازمة قبل أن تتخذ أي خطوة.,تعرفت,3,,,ك,2,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs', 'lemma': 'هُوَ'}",PRON,تعرفت,3,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'Voice': 'Act', 'lemma': 'تَعَرَّف'}",VERB,1,[],"{'newpar id': 'assabah.20041018.0032:p53', 'sent_id': 'assabah.20041018.0032:p53u1', 'text': 'تأكد أنك تعرفت على كافة الحقائق اللازمة قبل أن تتخذ أي خطوة.', 'treebank': 'UD_Arabic-PADT/ar_padt-ud-train.conllu'}",تــعرف,2 -> 3,تأكد أن ك,تأكد أن ك تــعرف على كافة الحقائق اللازمة قبل أن تتخذ أي خطوة.,[],[],0,0,0,False,False,False,0.2857142857142857,SV-P,arb,2,3,SV,verb,?
"هذا غريب كنت أعتقد أن ك أسلمت قبل سنوات"".",أسلمت,6,,,ك,5,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs', 'lemma': 'هُوَ'}",PRON,أسلمت,6,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'Voice': 'Act', 'lemma': 'أَسلَم'}",VERB,1,[],"{'sent_id': 'ummah.20040705.0029:p4u3', 'text': 'هذا غريب كنت أعتقد أنك أسلمت قبل سنوات"".', 'treebank': 'UD_Arabic-PADT/ar_padt-ud-train.conllu'}",أسلم,2 -> 3,هذا غريب كنت أعتقد أن ك,"هذا غريب كنت أعتقد أن ك أسلم قبل سنوات"".",[],[],0,0,0,False,False,False,0.0714285714285714,SV-P,arb,2,3,SV,verb,?
"بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرفت"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة.",عرفت,20,,,ك,19,"{'Case': 'Acc', 'Number': 'Sing', 'Person': '2', 'lemma': 'هُوَ'}",PRON,عرفت,20,"{'Aspect': 'Perf', 'Number': 'Sing', 'Person': '2', 'Tense': 'Past', 'Voice': 'Act', 'lemma': 'عَرَف'}",VERB,1,[],"{'newdoc id': 'w01124', 'sent_id': 'w01124011', 'text': 'بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرفت"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة.', 'original_text': 'بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرفت"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة.', 'text_en': ""After its progress had stalled in the Billboard 200 at No. 96, Thought 'Ya Knew climbed to No. 31 in the UK, but the album charted for only two weeks in the UK."", 'treebank': 'UD_Arabic-PUD/ar_pud-ud-test.conllu'}",عرف,2 -> 3,"بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك","بعد تقدمه ليحل في قائمة البيلبورد 200 في المرتبة الـ96, صعد ألبوم ""ظننت أنك عرف"" إلى المرتبة 31 في المملكة المتحدة, لكن الألبوم لم يبق في القائمة لأكثر من أسبوعين في المملكة المتحدة.",[],[],0,0,0,False,False,False,0.2857142857142857,SV-P,arb,2,3,SV,verb,?
"هذا غريب كنت أعتقد أن ك أسلمت قبل سنوات"".",أسلمت,6,,,ك,5,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs', 'lemma': 'هُوَ'}",PRON,أسلمت,6,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '2', 'Voice': 'Act', 'lemma': 'أَسلَم'}",VERB,1,[],"{'sent_id': 'ummah.20040705.0029:p4u3', 'text': 'هذا غريب كنت أعتقد أنك أسلمت قبل سنوات"".', 'treebank': 'UD_Arabic-PADT/ar_padt-ud-train.conllu'}",وأسلم,2 -> 3,هذا غريب كنت أعتقد أن ك,"هذا غريب كنت أعتقد أن ك وأسلم قبل سنوات"".",[],[],0,0,0,False,False,False,0.0714285714285714,SV-P,arb,2,3,SV,verb,?
