sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	He reigned only fifteen years, which is evidenced by the incomplete nature of many of his constructions.	He reigned only fifteen years, which are evidenced by the incomplete nature of many of his constructions.	NA	NA
n01035004	Despite the release of a photo this morning, police in B.C. say they have more questions than answers about an apparently homeless man charged in the fatal stabbing of a teen girl at her Abbotsford high school.	Despite the release of a photo this morning, police in B.C. say they has more questions than answers about an apparently homeless man charged in the fatal stabbing of a teen girl at her Abbotsford high school.	has	PL -> SG
n01110006	An investor with average luck and £10,000 in bonds could expect to receive £125 in prizes per year.	NA	NA	NA
w01007070	Its police includes a special unit which operates patrol and surveillance boats.	Its police includes a special unit which operate patrol and surveillance boats.	operate	SG -> PL
n01022002	A UN review of national plans to cut carbon says they are well short of the levels needed to keep the rise in global temperatures under 2C.	NA	NA	NA
w05005083	Things started to change in October 1777 when British forces under the command of General John Burgoyne surrendered in Saratoga in the north of the state of New York.	NA	NA	NA
n01059019	Republican economists caution against taking this data as proof that their party is lousy at economic policy.	NA	NA	NA
n01043005	The executives also received so-called "performance pay" for succeeding or surpassing expectations, sharing a pot of $1.5 million among them, or an estimated $15,000 each on average.	NA	NA	NA
n05007006	He believes that nobody waiting for us waits for us.	NA	NA	NA
n01112012	The consumer can boost the demand for change.	NA	NA	NA
n02011003	With the help of debit card data, the Essen police are investigating four people who stood by and watched while a retiree died in a bank.	NA	NA	NA
n01133014	The Dutch students have yet to decide if they will be commercializing their electric motorcycle.	The Dutch students 've yet to decide if they will be commercializing their electric motorcycle.	've	1|3 -> 2
n01016014	The South Korean company initially thought a battery fault was to blame, and switched its own component for a third-party power cell.	NA	NA	NA
n05003010	The consulted sources have said that it is "100% Cospedal".	The consulted sources 've said that it is "100% Cospedal".	've	1|3 -> 2
n01002058	What she’s saying and what she’s doing, it — actually, it’s unbelievable.	NA	NA	NA
n01120010	Doss’s story also has an unlikely quality to it that makes it all the more appealing.	NA	NA	NA
w01026024	The amount of goods transported on the Danube increased to about 100 million tons in 1987.	NA	NA	NA
w04002055	In 1976, the racecourse was no longer used; in 1990, a fire destroyed what remained of the wooden grandstands, which were later demolished along with the stables.	NA	NA	NA
n01123024	Perhaps it won’t matter as I won’t be troubled long.	NA	NA	NA
n01150051	"Architecture wo n't help deceased people, but it helps to keep their memories alive among the living," he says.	"Architecture wo n't help deceased people, but it help to keep their memories alive among the living," he says.	help	SG -> PL
w01026037	The greater part of the Danube Delta lies in Romania (Tulcea county), while its northern part, on the left bank of the Chilia arm, is situated in Ukraine (Odessa Oblast).	NA	NA	NA
w01035081	Agricultural land can actually suffer from the destruction of the surrounding landscape.	NA	NA	NA
w01105057	It was so successful that the military continued to use it for many years after the war, and it was still in use in some countries in the 1980s.	NA	NA	NA
w01084102	This contact with the West during the 16th century lead to a period of profound economic growth as lucrative trade routes were established.	NA	NA	NA
w01092032	The Industrial Revolution created a demand for metal parts used in machinery.	NA	NA	NA
w01010044	A variety of Germanic and major Slavic tribes crossed through Moravia during the Migration Period before Slavs established themselves in the 6th century AD.	NA	NA	NA
n01084008	Theoretically, a couple could open four Tesco accounts and earn 3% on £12,000 – £360.	NA	NA	NA
n01105013	But right now everything is out of kilter and he seems to be seeking answers all the time.	NA	NA	NA
