sent_correct	sent_wrong
Ok, da hätte uns eigentlich schon was komisch vorkommen müssen.	Ok, da hätten uns eigentlich schon was komisch vorkommen müssen.
Dadurch sollte Jahre später das Königreich Powys an die Herrscher des Königreiches Gwynedd fallen.	Dadurch sollten Jahre später das Königreich Powys an die Herrscher des Königreiches Gwynedd fallen.
Daher sei eine thermoregulatorische Funktion, falls überhaupt, nur in einigen Stegosauriern vorgekommen und habe allenfalls eine untergeordnete Rolle gespielt.	Daher seien eine thermoregulatorische Funktion, falls überhaupt, nur in einigen Stegosauriern vorgekommen und habe allenfalls eine untergeordnete Rolle gespielt.
Von einer tatsächlichen Verbesserung der Lage auf den Autobahnen und Landstraßen konnte denn angesichts dieses Katz- und Maus-Spieles an dem Montag nachmittag keine Rede sein.	Von einer tatsächlichen Verbesserung der Lage auf den Autobahnen und Landstraßen konnten denn angesichts dieses Katz- und Maus-Spieles an dem Montag nachmittag keine Rede sein.
Da die Ostsee zugefroren war, konnte aus Schweden zunächst keine Verstärkung kommen.	Da die Ostsee zugefroren war, konnten aus Schweden zunächst keine Verstärkung kommen.
Mit ihm zusammengewachsen ist der in dem Mittelalter bedeutendste Ortsteil Adelwil (1,8 km nordöstlich des Dorfs;)	Mit ihm zusammengewachsen sind der in dem Mittelalter bedeutendste Ortsteil Adelwil (1,8 km nordöstlich des Dorfs;)
In dem vergangenen Jahr war ein fix und fertig ausgehandelter Vertrag zwischen dem südkoreanischen Konzern Samsung und Fokker in dem letzten Moment geplatzt, weil die Regierung in Den Haag nicht zu den von den Asiaten verlangten Garantien bereit war.	In dem vergangenen Jahr waren ein fix und fertig ausgehandelter Vertrag zwischen dem südkoreanischen Konzern Samsung und Fokker in dem letzten Moment geplatzt, weil die Regierung in Den Haag nicht zu den von den Asiaten verlangten Garantien bereit war.
Mit dem nach dorthin aufstrebendem Dach wird die Assoziation geweckt, als würde das "Fischerboot" mit dem Bug gegen eine Welle fahren.	Mit dem nach dorthin aufstrebendem Dach wird die Assoziation geweckt, als würden das "Fischerboot" mit dem Bug gegen eine Welle fahren.
Dennoch ist hier eine durchaus originelle und einmalige Chorlösung entstanden, die sich von dem Heilig - Kreuz - Münster in Schwäbisch Gmünd und von dem Veitsdom in Prag deutlich abhebt.	Dennoch sind hier eine durchaus originelle und einmalige Chorlösung entstanden, die sich von dem Heilig - Kreuz - Münster in Schwäbisch Gmünd und von dem Veitsdom in Prag deutlich abhebt.
Obwohl Warhol in dem Mai 1965 bei Ileana Sonnabend in Paris verkündet hatte, dass er sich nun von der Malerei zurückziehen wolle, sollte in dem April 1966 eine Ausstellung in der New Yorker Galerie von Leo Castelli stattfinden.	Obwohl Warhol in dem Mai 1965 bei Ileana Sonnabend in Paris verkündet hatte, dass er sich nun von der Malerei zurückziehen wolle, sollten in dem April 1966 eine Ausstellung in der New Yorker Galerie von Leo Castelli stattfinden.
Dank der Antibiotika sei eine größere Epidemie nicht zu befürchten.	Dank der Antibiotika seien eine größere Epidemie nicht zu befürchten.
Da deren Entfaltung allerdings Zeit beanspruchen würde, sollte eine Kavallerie - Attacke der englischen Reiterei unter Lord George Sackville (1716-1785) die beiden französischen Brigaden zurückwerfen.	Da deren Entfaltung allerdings Zeit beanspruchen würde, sollten eine Kavallerie - Attacke der englischen Reiterei unter Lord George Sackville (1716-1785) die beiden französischen Brigaden zurückwerfen.
An der Revolution von 1848 hatte sich der überzeugte Demokrat mit engagierten Reden beteiligt.	An der Revolution von 1848 hatten sich der überzeugte Demokrat mit engagierten Reden beteiligt.
Tolles Personal, auch für meine Familie war der Umzugsstress gut zu verkraften.	Tolles Personal, auch für meine Familie waren der Umzugsstress gut zu verkraften.
In dem Zuge der Kurskorrektur habe sich auch die Struktur der Käufer geändert.	In dem Zuge der Kurskorrektur haben sich auch die Struktur der Käufer geändert.
Seit den 1960ern ist die südkoreanische Wirtschaft stark angewachsen, und die Wirtschaftsstruktur hat sich radikal verändert.	Seit den 1960ern sind die südkoreanische Wirtschaft stark angewachsen, und die Wirtschaftsstruktur hat sich radikal verändert.
Aufgetreten ist dieses räumliche Migrationsphänomen in (West) - Deutschland während der 1960er - und 1970er - Jahren, als viele Menschen sich mit dem Geld des Wirtschaftswunders ein Eigenheim außerhalb der großen Städte bauten (Vgl. Suburbanisierung).	Aufgetreten sind dieses räumliche Migrationsphänomen in (West) - Deutschland während der 1960er - und 1970er - Jahren, als viele Menschen sich mit dem Geld des Wirtschaftswunders ein Eigenheim außerhalb der großen Städte bauten (Vgl. Suburbanisierung).
In dieser Nachricht hatte der ehemalige Jusitzminister Brice Hortefeux als „faschistischen schwachsinnigen Innenminister“ und als „Gangster“ tituliert.	In dieser Nachricht hatten der ehemalige Jusitzminister Brice Hortefeux als „faschistischen schwachsinnigen Innenminister“ und als „Gangster“ tituliert.
„Mehr Menschen nehmen Kredite auf … Während das Leihen gerade leicht zu bewältigen sein mag, könnte eine plötzliche Änderung der Umstände zu Schuldenproblemen führen.“	„Mehr Menschen nehmen Kredite auf … Während das Leihen gerade leicht zu bewältigen sein mag, könnten eine plötzliche Änderung der Umstände zu Schuldenproblemen führen.“
Damit ist Code von GNU Classpath in die offizielle Implementierung der Java - Plattform eingeflossen.	Damit sind Code von GNU Classpath in die offizielle Implementierung der Java - Plattform eingeflossen.
In Anhui und Henan hatte die lokale Führung gegen Ende der Hungersnot 1959 bis 1961 die Familienbetriebe in der Landwirtschaft wieder eingeführt.	In Anhui und Henan hatten die lokale Führung gegen Ende der Hungersnot 1959 bis 1961 die Familienbetriebe in der Landwirtschaft wieder eingeführt.
Nach den Plänen seiner Pflegeeltern sollte er einmal den Bauernhof übernehmen, und so wurde ihm der Besuch des Gymnasiums verwehrt.	Nach den Plänen seiner Pflegeeltern sollte er einmal den Bauernhof übernehmen, und so wurden ihm der Besuch des Gymnasiums verwehrt.
An dem Mittwochabend hatte das von den Republikanern beherrschte Abgeordnetenhaus auf bislang erhobene Forderungen nach tiefen Einschnitten bei der Gesundheitsversorgung für ältere Menschen verzichtet.	An dem Mittwochabend hatten das von den Republikanern beherrschte Abgeordnetenhaus auf bislang erhobene Forderungen nach tiefen Einschnitten bei der Gesundheitsversorgung für ältere Menschen verzichtet.
``Total überflüssig'', hatte der CDU-Parlamentarier Klaus Lippold geurteilt und lauten Beifall erhalten.	``Total überflüssig'', hatten der CDU-Parlamentarier Klaus Lippold geurteilt und lauten Beifall erhalten.
Der Vorsitzende der Armutskonferenz in Potsdam, Ruth Brand, sagte an dem Rande der Generalversammlung der Europa -- Organisation, zwischen 1983 und 1993 habe sich die Zahl der Sozialhilfeempfänger in Deutschland vervierfacht.	Der Vorsitzende der Armutskonferenz in Potsdam, Ruth Brand, sagte an dem Rande der Generalversammlung der Europa -- Organisation, zwischen 1983 und 1993 haben sich die Zahl der Sozialhilfeempfänger in Deutschland vervierfacht.
Weiterhin negativ aufgefallen ist der schlechte Service dadurch, dass beispielsweise nicht darauf geachtet wurde, ob noch ausreichend Munition vorhanden ist.	Weiterhin negativ aufgefallen sind der schlechte Service dadurch, dass beispielsweise nicht darauf geachtet wurde, ob noch ausreichend Munition vorhanden ist.
Bei einer Störung vergangenen Winter konnte mir der Wochenend - Notdienst telefonisch weiterhelfen.	Bei einer Störung vergangenen Winter konnten mir der Wochenend - Notdienst telefonisch weiterhelfen.
Bei der Unterhauswahl 2010 konnte die Labour Party alle sieben Wahlkreise gewinnen.	Bei der Unterhauswahl 2010 konnten die Labour Party alle sieben Wahlkreise gewinnen.
Trotz inflationärer Verbreitung des IP - Labels sei der Pflanzenschutzmittelaufwand in vielen Obstanbaugebieten weiter gestiegen.	Trotz inflationärer Verbreitung des IP - Labels seien der Pflanzenschutzmittelaufwand in vielen Obstanbaugebieten weiter gestiegen.
Die Dresdener Caritas-Vorsitzende Eva Maria Kiklas berichtete, in Ostdeutschland sei die Unterschriftensammlung zögernd angelaufen;	Die Dresdener Caritas-Vorsitzende Eva Maria Kiklas berichtete, in Ostdeutschland seien die Unterschriftensammlung zögernd angelaufen;
Leider verspricht die Firma die Ware in ca. 7 Tagen zu liefern aber nach 8 Tagen ist immer noch keine Ware angekommen.	Leider verspricht die Firma die Ware in ca. 7 Tagen zu liefern aber nach 8 Tagen sind immer noch keine Ware angekommen.
Auf Grund dieser Frage müsste der Mann zugeben, dass zu Hause nicht er die "Hosen anhat", sondern seine Frau, was er in dem Radio offen bekundet.	Auf Grund dieser Frage müssten der Mann zugeben, dass zu Hause nicht er die "Hosen anhat", sondern seine Frau, was er in dem Radio offen bekundet.
Orbisons Wunsch nach großen Orchesterproduktionen wollte ihm Produzent Jack Clement bei Sun Records nicht erfüllen, denn "aus Dir wird nie ein Balladensänger."	Orbisons Wunsch nach großen Orchesterproduktionen wollten ihm Produzent Jack Clement bei Sun Records nicht erfüllen, denn "aus Dir wird nie ein Balladensänger."
An dem Montag werde der Aufsichtsrat über mögliche personelle Konsequenzen entscheiden.	An dem Montag werden der Aufsichtsrat über mögliche personelle Konsequenzen entscheiden.
Weltkriegs 1914 war der Fahrzeugbestand auf 90 Lokomotiven, 340 Reisezug - und 1.338 Güterwagen angewachsen und sank in der Folgezeit bis zu der Verstaatlichung 1938 wieder etwas ab.	Weltkriegs 1914 waren der Fahrzeugbestand auf 90 Lokomotiven, 340 Reisezug - und 1.338 Güterwagen angewachsen und sank in der Folgezeit bis zu der Verstaatlichung 1938 wieder etwas ab.
An dem Samstag hatte die spanische Polizei acht bewaffnete deutsche Skinheads festgenommen, die an der Kundgebung teilnehmen wollten.	An dem Samstag hatten die spanische Polizei acht bewaffnete deutsche Skinheads festgenommen, die an der Kundgebung teilnehmen wollten.
Bis 1929 ist keine Schrift Bachtins unter seinem eigenen Namen erschienen.	Bis 1929 sind keine Schrift Bachtins unter seinem eigenen Namen erschienen.
Dem Bericht zufolge dürfte das Defizit in der laufenden Periode noch über 160 Billionen Lire liegen.	Dem Bericht zufolge dürften das Defizit in der laufenden Periode noch über 160 Billionen Lire liegen.
In dem obigen Beispiel würde jemand so lange suchen, bis er die optimale Nähnadel zu dem Stopfen der Socken gefunden hat.	In dem obigen Beispiel würden jemand so lange suchen, bis er die optimale Nähnadel zu dem Stopfen der Socken gefunden hat.
Allerdings ist auch "Ferntransport" von Flussmützenschnecken bekannt geworden, speziell durch das zufällige Festheften an Füßen von Wasservögeln oder auch an dem Körper größerer flugfähiger Wasserkäfer.	Allerdings sind auch "Ferntransport" von Flussmützenschnecken bekannt geworden, speziell durch das zufällige Festheften an Füßen von Wasservögeln oder auch an dem Körper größerer flugfähiger Wasserkäfer.
Entscheidend könnte die Gefährdung des gewünschten Abschreckungseffekts gewesen sein, wenn bereits das erste Todesurteil "abgebogen" wird.	Entscheidend könnten die Gefährdung des gewünschten Abschreckungseffekts gewesen sein, wenn bereits das erste Todesurteil "abgebogen" wird.
Da Ronay fürchtete, mit Coursons und Morrisons Heroinkonsum in Verbindung gebracht zu werden, habe er sich zunächst selbst einen Eindruck von dem Gesundheitszustand seines ehemaligen Studienfreundes verschaffen wollen.	Da Ronay fürchtete, mit Coursons und Morrisons Heroinkonsum in Verbindung gebracht zu werden, haben er sich zunächst selbst einen Eindruck von dem Gesundheitszustand seines ehemaligen Studienfreundes verschaffen wollen.
Thomas Karlsson schreibt dort unter anderem: "Das Zeichen des Abraxas / Der Kreis des Sonnenjahres / Tief in dem Winter wirst du sehen, wie die Sonne geboren wird."	Thomas Karlsson schreibt dort unter anderem: "Das Zeichen des Abraxas / Der Kreis des Sonnenjahres / Tief in dem Winter werdet du sehen, wie die Sonne geboren wird."
Zu dem ersten Mal seit sechs Jahren ist die Arbeitslosigkeit wieder auf unter 20 % gesunken, und es sind jetzt schon 600.000 Menschen mehr in Arbeit als noch vor einem Jahr.	Zu dem ersten Mal seit sechs Jahren sind die Arbeitslosigkeit wieder auf unter 20 % gesunken, und es sind jetzt schon 600.000 Menschen mehr in Arbeit als noch vor einem Jahr.
Gottlob ist unsere Werkstatt gut ausgelastet, sodass diese Wartezeiten entstehen.	Gottlob sind unsere Werkstatt gut ausgelastet, sodass diese Wartezeiten entstehen.
Begünstigt durch die Wasserkraft der Flussläufe Heller, Daade und Steinebach hatte sich ein Zentrum der Eisenerzeugung entwickelt.	Begünstigt durch die Wasserkraft der Flussläufe Heller, Daade und Steinebach hatten sich ein Zentrum der Eisenerzeugung entwickelt.
