sent_correct	sent_wrong
To nie było to.	To nie była to.
Nie było to lekkie zadraśnięcie.	Nie była to lekkie zadraśnięcie.
To było prawdziwie bajkowe uczucie.	To była prawdziwie bajkowe uczucie.
Oczywiście, to było konstruktywne myślenie.	Oczywiście, to była konstruktywne myślenie.
To było najpopularniejsze śniadanie.	To była najpopularniejsze śniadanie.
To było zabawne wrażenie.	To była zabawne wrażenie.
To się nazywało teatr, ale to było mieszkanie cioci Lecha Emfazego.	To się nazywało teatr, ale to była mieszkanie cioci Lecha Emfazego.
Padł strzał, ale to było pudło.	Padł strzał, ale to była pudło.
Nie było to jego mieszkanie.	Nie była to jego mieszkanie.
To chyba była, może najbanalniej w świecie, zwyczajna nuda.	To chyba były, może najbanalniej w świecie, zwyczajna nuda.
Na ich podstawie inwestor, hiszpańska firma C&R Group, będzie mógł zdecydować ile kondygnacji pod ziemią będzie miał jego dom handlowy.	Na ich podstawie inwestor, hiszpańska firma C&R Group, będzie mógł zdecydować ile kondygnacji pod ziemią będą miał jego dom handlowy.
– to była pani pierwsza praca ?	– to były pani pierwsza praca ?
Od 23 do 25 czerwca trwać będzie w grodzie nad Brdą Ogólnopolska Konferencja Naukowa pt. "Lęk i depresja - problemem interdyscyplinarnym w medycynie".	Od 23 do 25 czerwca trwać będą w grodzie nad Brdą Ogólnopolska Konferencja Naukowa pt. "Lęk i depresja - problemem interdyscyplinarnym w medycynie".
O tym, w jakiej drużynie znajdzie się Jacek może zadecydować to, gdzie będzie startował jego brat Tomasz.	O tym, w jakiej drużynie znajdzie się Jacek może zadecydować to, gdzie będą startował jego brat Tomasz.
To ona zdecydowała za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będzie ich dalsze życie.	To ona zdecydowała za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będą ich dalsze życie.
– a jeszcze chciałem zapytać o szefostwo, to jest tylko ta jedna osoba ?	– a jeszcze chciałem zapytać o szefostwo, to są tylko ta jedna osoba ?
Stosowanie sankcji karnych będzie musiała w imieniu państw członkowskich wynegocjować prezydencja Unii Europejskiej.	Stosowanie sankcji karnych będą musiała w imieniu państw członkowskich wynegocjować prezydencja Unii Europejskiej.
Nie jest to tylko mój prywatny kłopot.	Nie są to tylko mój prywatny kłopot.
Niewątpliwie jest to jedyna użytkowa wartość porozumienia sprzed lat.	Niewątpliwie są to jedyna użytkowa wartość porozumienia sprzed lat.
To był dla Orlenu za dobry interes.	To były dla Orlenu za dobry interes.
W związku z tym pytam pana ministra: Komu, od kiedy, na jakich zasadach, w jakiej wysokości i przez kogo będzie mógł być wypłacany specjalny zasiłek osłonowy, rekompensujący skutki wzrostu cen nośników energii i ciepła?	W związku z tym pytam pana ministra: Komu, od kiedy, na jakich zasadach, w jakiej wysokości i przez kogo będą mógł być wypłacany specjalny zasiłek osłonowy, rekompensujący skutki wzrostu cen nośników energii i ciepła?
To był pierwszy od dwóch tygodni gorący posiłek.	To były pierwszy od dwóch tygodni gorący posiłek.
oto jest prawdziwy niemalowany teatr.	oto są prawdziwy niemalowany teatr.
