sent_correct	sent_wrong
郑大妈没有喝过冰红茶。	郑大妈没有喝了冰红茶。
陈大姐没有屠宰过牛。	陈大姐没有屠宰了牛。
他没有炖过鸡。	他没有炖了鸡。
李先生没有清蒸过鱼。	李先生没有清蒸了鱼。
你们没有弹过钢琴。	你们没有弹了钢琴。
他没有弹过玻璃珠。	他没有弹了玻璃珠。
她没有屠宰过牛。	她没有屠宰了牛。
张先生没有麻醉过老虎。	张先生没有麻醉了老虎。
李太太没有包扎过肚子。	李太太没有包扎了肚子。
我没有预习过教材。	我没有预习了教材。
你们没有拍摄过电影。	你们没有拍摄了电影。
李太太没有预习过教材。	李太太没有预习了教材。
她们没有煮过鸡。	她们没有煮了鸡。
她没有捕捉过鱼。	她没有捕捉了鱼。
她没有吃过蛋糕。	她没有吃了蛋糕。
他没有喝过葡萄汁。	他没有喝了葡萄汁。
陈大姐没有吹过双簧。	陈大姐没有吹了双簧。
她没有预习过教材。	她没有预习了教材。
他没有吹过笛子。	他没有吹了笛子。
王五没有预习过教材。	王五没有预习了教材。
李先生没有预习过教材。	李先生没有预习了教材。
你没有捕捉过鸭。	你没有捕捉了鸭。
周大妈没有盖过被子。	周大妈没有盖了被子。
小王没有制作过电影。	小王没有制作了电影。
小明没有清蒸过鸭。	小明没有清蒸了鸭。
她们没有开过卡车。	她们没有开了卡车。
你没有领养过小狗。	你没有领养了小狗。
我没有喝过葡萄汁。	我没有喝了葡萄汁。
你们没有观看过电影。	你们没有观看了电影。
他们没有吃过方便面。	他们没有吃了方便面。
张三没有爆炒过鸡。	张三没有爆炒了鸡。
徐小姐没有喝过可乐。	徐小姐没有喝了可乐。
我们没有爆炒过鱼。	我们没有爆炒了鱼。
她没有唱过美声。	她没有唱了美声。
胡大爷没有清洗过杯子。	胡大爷没有清洗了杯子。
郑大妈没有跨越过沙漠。	郑大妈没有跨越了沙漠。
你们没有拉过小提琴。	你们没有拉了小提琴。
张先生没有烧过鸭。	张先生没有烧了鸭。
他没有拉过小提琴。	他没有拉了小提琴。
小王没有爆炒过鸭。	小王没有爆炒了鸭。
他没有拍摄过电影。	他没有拍摄了电影。
他们没有爆炒过鱼。	他们没有爆炒了鱼。
王先生没有吃过香蕉。	王先生没有吃了香蕉。
小王没有创作过漫画。	小王没有创作了漫画。
王先生没有唱过美声。	王先生没有唱了美声。
他没有煮过鱼。	他没有煮了鱼。
我没有捕捉过蛇。	我没有捕捉了蛇。
王小姐没有清蒸过鱼。	王小姐没有清蒸了鱼。
她没有拍摄过电影。	她没有拍摄了电影。
我们没有吹过笛子。	我们没有吹了笛子。
何太太没有吃过糖果。	何太太没有吃了糖果。
他没有演奏过歌曲。	他没有演奏了歌曲。
王小姐没有跨越过海洋。	王小姐没有跨越了海洋。
他们没有制作过视频。	他们没有制作了视频。
她们没有吃过橘子。	她们没有吃了橘子。
我没有拍摄过电影。	我没有拍摄了电影。
他没有唱过戏曲。	他没有唱了戏曲。
张三没有演奏过华尔兹。	张三没有演奏了华尔兹。
你没有检查过胃。	你没有检查了胃。
她没有喝过咖啡。	她没有喝了咖啡。
