sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Er regierte nur 15 Jahre, dies ist duch die unvollständige Bauweise vieler seiner Bauwerke belegt.	Er regierten nur 15 Jahre, dies ist duch die unvollständige Bauweise vieler seiner Bauwerke belegt.	regierten	SG -> PL
n01035004	Trotz der Veröffentlichung eines Fotos heute Morgen sagt die Polizei in British Columbia, dass sie mehr Fragen als Antworten hat, was einen anscheinend obdachlosen Mann betrifft, der angeklagt ist, weil er eine Jugendliche an ihrer High School in Abbotsford erstochen haben soll.	Trotz der Veröffentlichung eines Fotos heute Morgen sagt die Polizei in British Columbia, dass sie mehr Fragen als Antworten hat, was einen anscheinend obdachlosen Mann betriffst, der angeklagt ist, weil er eine Jugendliche an ihrer High School in Abbotsford erstochen haben soll.	betriffst	3 -> 2
n01110006	Ein Investor mit einem durchschnittlichen Maß an Glück, der 10.000 GBP in Anleihen angelegt hat, kann mit einem Ertrag von 125 GBP pro Jahr rechnen.	Ein Investor mit einem durchschnittlichen Maß an Glück, der 10.000 GBP in Anleihen angelegt hast, kann mit einem Ertrag von 125 GBP pro Jahr rechnen.	hast	3 -> 2
w01007070	Seine Polizei umfasst eine Sondereinheit, die Streifen- und Überwachungsboote betreibt.	Seine Polizei umfasst eine Sondereinheit, die Streifen- und Überwachungsboote betreibst.	betreibst	3 -> 2
n01022002	Eine Überprüfung der nationalen Pläne zu der Kohlenstoffsenkung durch die UN ergab eine deutliche Überschreitung der Level, die dafür nötig sind, den globalen Temperaturanstieg unter 2°C zu halten.	Eine Überprüfung der nationalen Pläne zu der Kohlenstoffsenkung durch die UN ergaben eine deutliche Überschreitung der Level, die dafür nötig sind, den globalen Temperaturanstieg unter 2°C zu halten.	ergaben	SG -> PL
w05005083	Die Situation veränderte sich ab dem Oktober 1777, als britische Streitkräfte unter dem Kommando von General John Burgoyne in Saratoga in dem Norden des Staates New York kapitulierten.	Die Situation veränderte sich ab dem Oktober 1777, als britische Streitkräfte unter dem Kommando von General John Burgoyne in Saratoga in dem Norden des Staates New York kapitulierte.	kapitulierte	PL -> SG
n01059019	Republikanische Wirtschaftsexperten warnen davor, diese Daten als Beweis dafür anzusehen, dass ihre Partei keine Ahnung von Wirtschaftspolitik hat.	Republikanische Wirtschaftsexperten warnt davor, diese Daten als Beweis dafür anzusehen, dass ihre Partei keine Ahnung von Wirtschaftspolitik hat.	warnt	PL -> SG
n01043005	Leitende Angestellte erhielten ebenfalls eine sogenannte „Leistungszulage“ für das Erfüllen oder Übertreffen der Erwartungen, die sich insgesamt auf 1,5 Millionen Dollar beläuft bzw. durchschnittlich geschätzte 15.000 Dollar pro Person beträgt.	Leitende Angestellte erhielt ebenfalls eine sogenannte „Leistungszulage“ für das Erfüllen oder Übertreffen der Erwartungen, die sich insgesamt auf 1,5 Millionen Dollar beläuft bzw. durchschnittlich geschätzte 15.000 Dollar pro Person beträgt.	erhielt	PL -> SG
n05007006	Er glaubt, dass niemand der auf uns Wartenden auf uns wartet.	Er glaubt, dass niemand der auf uns Wartenden auf uns warte.	warte	3 -> 1
n01112012	Der Kunde kann die Forderung nach Veränderung verstärken.	Der Kunde kannst die Forderung nach Veränderung verstärken.	kannst	3 -> 2
