sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Birçok yapıtının tamamlanmamasından da anlaşıldığı üzere sadece on beş yıl hüküm sürmüştür.	NA	NA	NA
n01035004	Bu sabah bir fotoğrafın yayınlanmasına rağmen, B.C. polisi Abbotsford lisesinde bir genç kızı bıçaklayarak öldürmekle suçlanan evsiz görünüşlü bir adam hakkında cevaplardan daha fazla soruları olduğunu söylüyor.	Bu sabah bir fotoğrafın yayınlanmasına rağmen, B.C. polisi Abbotsford lisesinde bir genç kızı bıçaklayarak öldürmekle suçlanan evsiz görünüşlü bir adam hakkında cevaplardan daha fazla soruları olduğunu söylüyorlar.	söylüyorlar	SG -> PL
n01110006	Ortalama şansa ve 10.000 Sterlin değerinde tahvillere sahip bir yatırımcı yılda 125 Sterlin ikramiye kazanabilir.	NA	NA	NA
w01007070	Polisinin bünyesinde, devriye ve gözetleme teknelerini işleten özel bir birim bulunur.	Polisinin bünyesinde, devriye ve gözetleme teknelerini işleten özel bir birim bulunurlar.	bulunurlar	SG -> PL
n01022002	Birleşmiş Milletler'in karbon azaltma planları üzerindeki incelemesi, bunların küresel hava sıcaklıklarındaki artışın 2 C'nin altında kalması için gereken seviyelerin çok altında olduğunu gösteriyor.	NA	NA	NA
w05005083	Ekim 1777'de, General John Burgoyne'in komutasındaki İngiliz kuvvetleri New York eyaletinin kuzeyindeki Saratoga'da teslim olunca bir şeyler değişmeye başlamıştır.	NA	NA	NA
n01059019	Cumhuriyetçi iktisatçılar, bu verilerin partilerinin ekonomik politikada berbat olduğunun bir kanıtı olarak görülmemesine önem veriyor.	NA	NA	NA
n01043005	Yöneticilere de beklentileri karşıladıkları veya aştıkları için "performans ödemesi" denen bir ödeme yapıldı ve 1,5 milyon dolarlık bir tutar aralarında paylaştırıldı, yani her biri ortalama 15.000 dolarlık bir pay aldı.	Yöneticilere de beklentileri karşıladıkları veya aştıkları için "performans ödemesi" denen bir ödeme yapıldı ve 1,5 milyon dolarlık bir tutar aralarında paylaştırıldı, yani her biri ortalama 15.000 dolarlık bir pay alacaklar.	alacaklar	SG -> PL
n05007006	O bizi bekleyen kimsenin aslında bizi beklemediğine inanıyor.	O bizi bekleyen kimsenin aslında bizi beklemediğine inanıyorlar.	inanıyorlar	SG -> PL
n01112012	Tüketici, değişim talebini artırabilir.	NA	NA	NA
n02011003	Essen polisi, Banka kartı verilerinin yardımıyla, bir emeklinin bankada öldüğü sırada orada durup izleyen dört kişiyi soruşturuyor.	NA	NA	NA
n01133014	Hollandalı öğrenciler henüz elektrikli motosikletlerini ticarete dökme konusunda karar vermiş değil.	NA	NA	NA
n01016014	Güney Koreli şirket ilk başlarda sorunun arızalı bir pilden kaynaklandığını düşündü ve kendi bileşenini üçüncü tarafa ait bir güç hücresi ile değiştirdi.	Güney Koreli şirket ilk başlarda sorunun arızalı bir pilden kaynaklandığını düşündü ve kendi bileşenini üçüncü tarafa ait bir güç hücresi ile deği̇şti̇rmedi̇ler.	deği̇şti̇rmedi̇ler	SG -> PL
n05003010	Danışılan "%100 Cospedal" olduğunu belirtti.	NA	NA	NA
n01002058	Söylediği ve yaptığı şeyler gerçekten inanılmaz.	NA	NA	NA
n01120010	Doss'un hikayesi, onu daha da ilgi çekici hale getiren olağan dışı bir özelliğe sahip.	NA	NA	NA
w01026024	Tuna Nehri üzerinde taşınan malların miktarı 1987'de yaklaşık 100 milyon tona yükselmiştir.	NA	NA	NA
w04002055	1976'da parkur artık kullanılmıyordu; 1990'da ise bir yangın, daha sonraları ahırlarla birlikte yıkılacak olan tahta tribünlerden geri kalanları da yok etmişti.	NA	NA	NA
