sent_correct	sent_wrong
Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès de les hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille.	Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès de les hôpitaux ou de tout autre endroit où auraient pu trouver refuge la jeune fille.
De là serait née sa vocation musicale (après avoir été bercé par le « chant » de les martinets--à entendre ici dans le sens de les lourds marteaux de platinage et non de les gracieux oiseaux !)	De là seraient née sa vocation musicale (après avoir été bercé par le « chant » de les martinets--à entendre ici dans le sens de les lourds marteaux de platinage et non de les gracieux oiseaux !)
Quel est le mois où est entré en vigueur l'embargo de l'ONU sur le pétrole visant Haïti ?	Quel est le mois où sont entré en vigueur l'embargo de l'ONU sur le pétrole visant Haïti ?
En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont avait fait preuve le gouvernement à l'égard de les filles.	En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont avaient fait preuve le gouvernement à l'égard de les filles.
Paris est "préoccupé par les violations de les droits de l'Homme qui ont été signalées dans l'ouest de la Côte d'Ivoire ces derniers jours", a déclaré le porte-parole de le ministère français de les Affaires étrangères, François Rivasseau.	Paris est "préoccupé par les violations de les droits de l'Homme qui ont été signalées dans l'ouest de la Côte d'Ivoire ces derniers jours", ont déclaré le porte-parole de le ministère français de les Affaires étrangères, François Rivasseau.
Plus loin à le nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord de le quartier Madeleine, était situé un champ de manœuvre spécialement entretenu pour les militaires de la ville.	Plus loin à le nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord de le quartier Madeleine, étaient situé un champ de manœuvre spécialement entretenu pour les militaires de la ville.
Quand a eu lieu la première transplantation d'un rein ?	Quand ont eu lieu la première transplantation d'un rein ?
Celui-ci est, à l'image de le frère que s'est construit le narrateur, la fierté de son père.	Celui-ci est, à l'image de le frère que s'sont construit le narrateur, la fierté de son père.
» C'est ce qu'aurait déclaré un ophtalmologiste d'Aix-en-Provence à un patient d'origine marocaine, lui refusant une consultation, affirme France Info hier vendredi.	» C'est ce qu'auraient déclaré un ophtalmologiste d'Aix-en-Provence à un patient d'origine marocaine, lui refusant une consultation, affirme France Info hier vendredi.
Mais à peine avait-on commencé qu'un groupe de Marocains, présents à le Forum et participant à d'autres activités, a commencé à proférer des insultes, envahissant la salle et allant jusqu'à se battre avec ces membres de l'organisation qui tentaient de prendre la scène en photo.	Mais à peine avaient-on commencé qu'un groupe de Marocains, présents à le Forum et participant à d'autres activités, a commencé à proférer des insultes, envahissant la salle et allant jusqu'à se battre avec ces membres de l'organisation qui tentaient de prendre la scène en photo.
Entre eux s’est développée une longue relation professionnelle et amicale qui a duré pendant des années.	Entre eux s’sont développée une longue relation professionnelle et amicale qui a duré pendant des années.
L'homme de ma vie, c'est moi qui l'appelle ainsi, me portait sur ses épaules pour que sa petite louve crie encore plus fort que tous les loups... je hurlais « liberté pourquoi m'as-tu abandonnée ?	L'homme de ma vie, c'est moi qui l'appelle ainsi, me portait sur ses épaules pour que sa petite louve crie encore plus fort que tous les loups... je hurlais « liberté pourquoi m'avez-tu abandonnée ?
Les travaux de la table ronde ivoirienne suivent le calendrier prévu et pourraient se terminer avant la date butoir de le 24 janvier, a indiqué le porte-parole de le Quai d'Orsay.	Les travaux de la table ronde ivoirienne suivent le calendrier prévu et pourraient se terminer avant la date butoir de le 24 janvier, ont indiqué le porte-parole de le Quai d'Orsay.
Où a eu lieu le premier Championnat international de ski de fond ?	Où ont eu lieu le premier Championnat international de ski de fond ?
