sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	حكم خمس عشرة سنة فقط, ويدل على ذلك عدم اكتمال العديد من منشآته.	حكم خمس عشرة سنة فقط, وتدل على ذلك عدم اكتمال العديد من منشآته.	تدل	MASC -> FEM
n01035004	بالرغم من نشر صورة هذا الصباح, تقول شرطة بريتيش كولومبيا أن لديهم أسئلة أكثر مما لديهم أجوبة بشأن رجلٍ متشرد اتهم بطعن فتاة مراهقة حتى الموت في مدرستها مدرسة آبوستفورد الثانوية.	بالرغم من نشر صورة هذا الصباح, يقول شرطة بريتيش كولومبيا أن لديهم أسئلة أكثر مما لديهم أجوبة بشأن رجلٍ متشرد اتهم بطعن فتاة مراهقة حتى الموت في مدرستها مدرسة آبوستفورد الثانوية.	يقول	FEM -> MASC
n01110006	يمكن للمستثمر ذي الحظ المتوسط وسندات بقيمة 10000 جنيه إسترليني أن يتوقع تحقيق مكاسب سنوية تبلغ 125 جنيه إسترليني.	NA	NA	NA
w01007070	تضم الشرطة وحدةً خاصة تسير دوريات وتراقب المراكب.	تضمان الشرطة وحدةً خاصة تسير دوريات وتراقب المراكب.	تضمان	SG -> DU
n01022002	يقول تقرير الأمم المتحدة عن الخطط الوطنية للحد من انبعاثات الكربون أنها أقل من المستوى المطلوب للحفاظ على ارتفاع حرارة الأرض بمقدار أقل من درجتين مئويتين.	يقولون تقرير الأمم المتحدة عن الخطط الوطنية للحد من انبعاثات الكربون أنها أقل من المستوى المطلوب للحفاظ على ارتفاع حرارة الأرض بمقدار أقل من درجتين مئويتين.	يقولون	SG -> PL
w05005083	بدأت الأمور تشهد تغييراً في تشرين الأول 1777 استسلمت القوات البريطانية بقيادة الجنرال جون بيرغوين في ساراتوغا شمالي ولاية نيويورك.	NA	NA	NA
n01059019	يحذر الاقتصاديون في الجمهوريين من أخذ هذه البيانات كدليلٍ على أن سياسة حزبهم الاقتصادية سيئة.	NA	NA	NA
n01043005	تلقى المديرون التنفيذيون أيضاً ما يسمى الدفع المرتبط بالأداء لقاء النجاح أو تجاوز التوقعات بحيث يتشاركون فيما بينهم مبلغاً وقدره 1,5 مليون دولار, أو ما يقدر ب15000 دولار كمعدل لكلٍ منهم.	NA	NA	NA
n05007006	هو يعتقد أن لا أحد ينتظرنا ينتظرنا.	هو يعتقد أن لا أحد ينتظروننا ينتظرنا.	ينتظرون	SG -> PL
n01112012	يمكن للمستهلك أن يعزز الطلب على التغيير.	NA	NA	NA
