sen,verb,verb_idx,cop,cop_idx,child,child_idx,child_features,child_upos,head,head_idx,head_features,head_upos,distance,attractors,metadata,swap_head,feature_vals,prefix,wrong_sen,congruent_attractors,incongruent_attractors,num_attractors,num_congruent_attractors,num_incongruent_attractors,has_attractors,only_has_congruent_attractors,only_has_incongruent_attractors,sample_weight,phenomenon,lang,grammatical_feature,ungrammatical_feature,wo,inflect_item,agreement_certainty
"Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès de les hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille.",pu,23,aurait,22.0,fille,28,"{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'fille'}",NOUN,aurait,22,"{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Fem'}",AUX,-6,"[{'id': 26, 'form': 'refuge', 'lemma': 'refuge', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 25, 'deprel': 'obj', 'deps': None, 'misc': None}, {'id': 27, 'form': 'la', 'lemma': 'le', 'upos': 'DET', 'xpos': None, 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 29, 'deprel': 'det', 'deps': None, 'misc': None}]","{'sent_id': 'annodis.er_00382', 'text': ""Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."", 'treebank': 'UD_French-Sequoia/fr_sequoia-ud-test.conllu'}",auraient,SG -> PL,"Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès de les hôpitaux ou de tout autre endroit où","Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès de les hôpitaux ou de tout autre endroit où auraient pu trouver refuge la jeune fille.","[{'id': 26, 'form': 'refuge', 'lemma': 'refuge', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 25, 'deprel': 'obj', 'deps': None, 'misc': None}, {'id': 27, 'form': 'la', 'lemma': 'le', 'upos': 'DET', 'xpos': None, 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 29, 'deprel': 'det', 'deps': None, 'misc': None}]",[],2,2,0,True,True,False,0.463522884081999,SV-#,fra,SG,PL,VS,aux,+
De là serait née sa vocation musicale (après avoir été bercé par le « chant » de les martinets--à entendre ici dans le sens de les lourds marteaux de platinage et non de les gracieux oiseaux !),née,3,serait,2.0,vocation,5,"{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'vocation'}",NOUN,serait,2,"{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'être', 'Gender': 'Fem'}",AUX,-3,"[{'id': 4, 'form': 'née', 'lemma': 'naître', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}]","{'sent_id': 'fr-ud-train_01913', 'text': 'De là serait née sa vocation musicale (après avoir été bercé par le « chant » des martinets--à entendre ici dans le sens des lourds marteaux de platinage et non des gracieux oiseaux !)', 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",seraient,SG -> PL,De là,De là seraient née sa vocation musicale (après avoir été bercé par le « chant » de les martinets--à entendre ici dans le sens de les lourds marteaux de platinage et non de les gracieux oiseaux !),"[{'id': 4, 'form': 'née', 'lemma': 'naître', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.0817981560144704,SV-#,fra,SG,PL,VS,aux,+
Quel est le mois où est entré en vigueur l'embargo de l'ONU sur le pétrole visant Haïti ?,entré,6,est,5.0,embargo,10,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'embargo'}",NOUN,est,5,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'être', 'Gender': 'Masc'}",AUX,-5,"[{'id': 7, 'form': 'entré', 'lemma': 'entrer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 4, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]","{'sent_id': 'FQB_CLEF03-166', 'text': ""Quel est le mois où est entré en vigueur l'embargo de l'ONU sur le pétrole visant Haïti ?"", 'treebank': 'UD_French-FQB/fr_fqb-ud-test.conllu'}",sont,SG -> PL,Quel est le mois où,Quel est le mois où sont entré en vigueur l'embargo de l'ONU sur le pétrole visant Haïti ?,"[{'id': 7, 'form': 'entré', 'lemma': 'entrer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 4, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.1112454921796798,SV-#,fra,SG,PL,VS,aux,+
"En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont avait fait preuve le gouvernement à l'égard de les filles.",fait,18,avait,17.0,gouvernement,21,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'gouvernement'}",NOUN,avait,17,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Masc'}",AUX,-4,"[{'id': 19, 'form': 'fait', 'lemma': 'faire', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 14, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}, {'id': 20, 'form': 'preuve', 'lemma': 'preuve', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Fem', 'Number': 'Sing'}, 'head': 19, 'deprel': 'obj:lvc', 'deps': None, 'misc': None}]","{'sent_id': 'fr-ud-train_03760', 'text': ""En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont avait fait preuve le gouvernement à l'égard des filles."", 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",avaient,SG -> PL,"En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont","En 1985, l'Unesco remet un trophée à l'Irak pour l'effort d'alphabétisation dont avaient fait preuve le gouvernement à l'égard de les filles.","[{'id': 19, 'form': 'fait', 'lemma': 'faire', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 14, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}, {'id': 20, 'form': 'preuve', 'lemma': 'preuve', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Fem', 'Number': 'Sing'}, 'head': 19, 'deprel': 'obj:lvc', 'deps': None, 'misc': None}]",[],2,2,0,True,True,False,0.017827803233923,SV-#,fra,SG,PL,VS,aux,+
"Paris est ""préoccupé par les violations de les droits de l'Homme qui ont été signalées dans l'ouest de la Côte d'Ivoire ces derniers jours"", a déclaré le porte-parole de le ministère français de les Affaires étrangères, François Rivasseau.",déclaré,31,a,30.0,porte-parole,33,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'porte-parole'}",NOUN,a,30,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Masc'}",AUX,-3,"[{'id': 32, 'form': 'déclaré', 'lemma': 'déclarer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 4, 'deprel': 'parataxis:insert', 'deps': None, 'misc': None}]","{'sent_id': 'annodis.er_00346', 'text': 'Paris est ""préoccupé par les violations des droits de l\'Homme qui ont été signalées dans l\'ouest de la Côte d\'Ivoire ces derniers jours"", a déclaré le porte-parole du ministère français des Affaires étrangères, François Rivasseau.', 'treebank': 'UD_French-Sequoia/fr_sequoia-ud-train.conllu'}",ont,SG -> PL,"Paris est ""préoccupé par les violations de les droits de l'Homme qui ont été signalées dans l'ouest de la Côte d'Ivoire ces derniers jours"",","Paris est ""préoccupé par les violations de les droits de l'Homme qui ont été signalées dans l'ouest de la Côte d'Ivoire ces derniers jours"", ont déclaré le porte-parole de le ministère français de les Affaires étrangères, François Rivasseau.","[{'id': 32, 'form': 'déclaré', 'lemma': 'déclarer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 4, 'deprel': 'parataxis:insert', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.0002370961043897,SV-#,fra,SG,PL,VS,aux,+
"Plus loin à le nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord de le quartier Madeleine, était situé un champ de manœuvre spécialement entretenu pour les militaires de la ville.",situé,27,était,26.0,champ,29,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'champ'}",NOUN,était,26,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'être', 'Gender': 'Masc'}",AUX,-3,"[{'id': 28, 'form': 'situé', 'lemma': 'situer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}]","{'sent_id': 'fr-ud-train_14287', 'text': ""Plus loin au nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord du quartier Madeleine, était situé un champ de manœuvre spécialement entretenu pour les militaires de la ville."", 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",étaient,SG -> PL,"Plus loin à le nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord de le quartier Madeleine,","Plus loin à le nord, sur l'entrée « Beaulieu » de l'actuelle rocade, soit l'extrémité nord de le quartier Madeleine, étaient situé un champ de manœuvre spécialement entretenu pour les militaires de la ville.","[{'id': 28, 'form': 'situé', 'lemma': 'situer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.0817981560144704,SV-#,fra,SG,PL,VS,aux,+
Quand a eu lieu la première transplantation d'un rein ?,eu,2,a,1.0,transplantation,6,"{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'transplantation'}",NOUN,a,1,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Fem'}",AUX,-5,"[{'id': 3, 'form': 'eu', 'lemma': 'avoir', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}, {'id': 4, 'form': 'lieu', 'lemma': 'lieu', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 3, 'deprel': 'obj', 'deps': None, 'misc': None}, {'id': 5, 'form': 'la', 'lemma': 'le', 'upos': 'DET', 'xpos': None, 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 7, 'deprel': 'det', 'deps': None, 'misc': None}]","{'sent_id': 'FQB_TREC-fr-1314', 'text': ""Quand a eu lieu la première transplantation d'un rein ?"", 'treebank': 'UD_French-FQB/fr_fqb-ud-test.conllu'}",ont,SG -> PL,Quand,Quand ont eu lieu la première transplantation d'un rein ?,"[{'id': 3, 'form': 'eu', 'lemma': 'avoir', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}, {'id': 4, 'form': 'lieu', 'lemma': 'lieu', 'upos': 'NOUN', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 3, 'deprel': 'obj', 'deps': None, 'misc': None}, {'id': 5, 'form': 'la', 'lemma': 'le', 'upos': 'DET', 'xpos': None, 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 7, 'deprel': 'det', 'deps': None, 'misc': None}]",[],3,3,0,True,True,False,0.0024183802647756,SV-#,fra,SG,PL,VS,aux,+
"Celui-ci est, à l'image de le frère que s'est construit le narrateur, la fierté de son père.",construit,12,est,11.0,narrateur,14,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'narrateur'}",NOUN,est,11,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'être', 'Gender': 'Masc'}",AUX,-3,"[{'id': 13, 'form': 'construit', 'lemma': 'construire', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 6, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]","{'sent_id': 'fr-ud-train_13790', 'text': ""Celui-ci est, à l'image du frère que s'est construit le narrateur, la fierté de son père."", 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",sont,SG -> PL,"Celui-ci est, à l'image de le frère que s'","Celui-ci est, à l'image de le frère que s'sont construit le narrateur, la fierté de son père.","[{'id': 13, 'form': 'construit', 'lemma': 'construire', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 6, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.016359631202894,SV-#,fra,SG,PL,VS,aux,+
"» C'est ce qu'aurait déclaré un ophtalmologiste d'Aix-en-Provence à un patient d'origine marocaine, lui refusant une consultation, affirme France Info hier vendredi.",déclaré,6,aurait,5.0,ophtalmologiste,8,"{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'ophtalmologiste'}",NOUN,aurait,5,"{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Masc'}",AUX,-3,"[{'id': 7, 'form': 'déclaré', 'lemma': 'déclarer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 4, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]","{'sent_id': 'fr-ud-train_00952', 'text': ""» C'est ce qu'aurait déclaré un ophtalmologiste d'Aix-en-Provence à un patient d'origine marocaine, lui refusant une consultation, affirme France Info hier vendredi."", 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",auraient,SG -> PL,» C'est ce qu',"» C'est ce qu'auraient déclaré un ophtalmologiste d'Aix-en-Provence à un patient d'origine marocaine, lui refusant une consultation, affirme France Info hier vendredi.","[{'id': 7, 'form': 'déclaré', 'lemma': 'déclarer', 'upos': 'VERB', 'xpos': None, 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}, 'head': 4, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.0272660520048234,SV-#,fra,SG,PL,VS,aux,+
"Mais à peine avait-on commencé qu'un groupe de Marocains, présents à le Forum et participant à d'autres activités, a commencé à proférer des insultes, envahissant la salle et allant jusqu'à se battre avec ces membres de l'organisation qui tentaient de prendre la scène en photo.",commencé,5,avait,3.0,-on,4,"{'Emph': 'No', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Ind', 'lemma': 'on'}",PRON,avait,3,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'avoir', 'Gender': 'Masc'}",AUX,-1,[],"{'sent_id': 'fr-ud-train_00864', 'text': ""Mais à peine avait-on commencé qu'un groupe de Marocains, présents au Forum et participant à d'autres activités, a commencé à proférer des insultes, envahissant la salle et allant jusqu'à se battre avec ces membres de l'organisation qui tentaient de prendre la scène en photo."", 'treebank': 'UD_French-GSD/fr_gsd-ud-train.conllu'}",avaient,SG -> PL,Mais à peine,"Mais à peine avaient-on commencé qu'un groupe de Marocains, présents à le Forum et participant à d'autres activités, a commencé à proférer des insultes, envahissant la salle et allant jusqu'à se battre avec ces membres de l'organisation qui tentaient de prendre la scène en photo.",[],[],0,0,0,False,False,False,0.0073736006159361,SV-#,fra,SG,PL,VS,aux,+
