sent_correct	sent_wrong
Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.	Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеют о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.
В противном случае я вам этого не гарантирую.	В противном случае я вам этого не гарантирует.
Я, думалось мне, являюсь типичным представителем научной среды.	Я, думалось мне, является типичным представителем научной среды.
Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.	Но по большому счету это наша идея, и мы ее, разумеется, поддерживают.
Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!	Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открывает!
Он сказал: "Я с вами, Ваше Величество, встречаюсь второй раз".	Он сказал: "Я с вами, Ваше Величество, встречается второй раз".
Давление тех, кто говорит о том, что "любой ценой", "откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад", - в нынешних условиях растет.	Давление тех, кто говорит о том, что "любой ценой", "откройте закрома родины, мы вам сейчас тут устроят такие замечательные проекты, что вы увидите, как мы унизим Запад", - в нынешних условиях растет.
Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.	Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждут и будем им рады), а нам, извините, пора делами заниматься.
Я тебя уму-разуму научу.	Я тебя уму-разуму научит.
Я ее не сторожу, - не оборачиваясь ответила Виктория.	Я ее не сторожит, - не оборачиваясь ответила Виктория.
Типо, давай я тебе хотя бы проституток красивых вызову))	Типо, давай я тебе хотя бы проституток красивых вызовет))
Мы их быстро отсекаем, как и всех, кто хочет идти к больным с миссией, а не с желанием поддержать и служить пациенту.	Мы их быстро отсекают, как и всех, кто хочет идти к больным с миссией, а не с желанием поддержать и служить пациенту.
Они думали, что я им какой-то роман пересказываю.	Они думали, что я им какой-то роман пересказывает.
Она писала, что я ей нравлюсь, но как друг, потом она мне написала, что я ей тоже нравлюсь, но со мной она быть не может и не знает почему.	Она писала, что я ей нравлюсь, но как друг, потом она мне написала, что я ей тоже нравится, но со мной она быть не может и не знает почему.
И что же - ждать, пока мы до него "дорастем"?	И что же - ждать, пока мы до него "дорастут"?
Мы с ним почти не разговариваем, но от общих друзей я знаю, что он замкнулся в себе, начал выпивать и сильно изменился.	Мы с ним почти не разговаривают, но от общих друзей я знаю, что он замкнулся в себе, начал выпивать и сильно изменился.
"Я тебе и так отвечу, не тратя денег на опрос.	"Я тебе и так ответит, не тратя денег на опрос.
Ему на это ответили: скажи спасибо, что мы тебя в штрафбат не посылаем, - и вернули на фронт солдатом.	Ему на это ответили: скажи спасибо, что мы тебя в штрафбат не посылают, - и вернули на фронт солдатом.
раньше кот Тихон я его как увидел зову тихоня = оставались одни	раньше кот Тихон я его как увидел зовет тихоня = оставались одни
Я пошел жаловаться отцу на что он мне ответил я с тобой вечером поговорю.	Я пошел жаловаться отцу на что он мне ответил я с тобой вечером поговорит.
Мне это напоминает анекдот: "Научитесь прыгать с вышки, а потом мы вам воду нальем в бассейн".	Мне это напоминает анекдот: "Научитесь прыгать с вышки, а потом мы вам воду нальют в бассейн".
- А я ее палкой ударю! - грозно сказала Вика, и Гаянэ в этом не усомнилась.	- А я ее палкой ударит! - грозно сказала Вика, и Гаянэ в этом не усомнилась.
Сам новичок, поэтому особо не разбираюсь.	Сам новичок, поэтому особо не разбирается.
Но мы, те, кто понимает, что такое жизнь, мы, конечно, смеемся над номерами и цифрами!	Но мы, те, кто понимает, что такое жизнь, мы, конечно, смеются над номерами и цифрами!
