sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	Он правил всего пятнадцать лет, о чем свидетельствует множество недостроенных объектов.	Он правил всего пятнадцать лет, о чем свидетельствуют множество недостроенных объектов.	свидетельствуют	SG -> PL
n01035004	Несмотря на обнародование фотографии сегодняшним утром, полиция в Британской Колумбии говорит, что они имеют больше вопросов, чем ответов о мужчине, который, по-видимому, не имеет определенного места жительства и обвиняется в нанесении смертельного ножевого ранения девочке-ученице в средней школе города Эбботсфорд.	Несмотря на обнародование фотографии сегодняшним утром, полиция в Британской Колумбии говорит, что они имеют больше вопросов, чем ответов о мужчине, который, по-видимому, не имеют определенного места жительства и обвиняется в нанесении смертельного ножевого ранения девочке-ученице в средней школе города Эбботсфорд.	имеют	SG -> PL
n01110006	Обладающий обычным везением и имеющий 10000 фунтов стерлингов в облигациях инвестор мог рассчитывать на доход в 125 фунтов в год.	Обладающий обычным везением и имеющий 10000 фунтов стерлингов в облигациях инвестор могли рассчитывать на доход в 125 фунтов в год.	могли	SG -> PL
w01007070	Полиция включает в себя особое подразделение, которое управляет патрульным и разведывательными судами.	Полиция включает в себя особое подразделение, которое управляют патрульным и разведывательными судами.	управляют	SG -> PL
n01022002	Обзор ООН по национальным планам сокращения выбросов CO2 показывает, что они крайне недостаточны для того, чтобы удержать глобальное потепление в пределах менее 2 градусов.	Обзор ООН по национальным планам сокращения выбросов CO2 показывают, что они крайне недостаточны для того, чтобы удержать глобальное потепление в пределах менее 2 градусов.	показывают	SG -> PL
w05005083	Положение дел начало меняться в октябре 1777 года, когда британские войска под командованием генерала Джона Бергойна сдались в Саратоге на севере штата Нью-Йорк.	Положение дел начали меняться в октябре 1777 года, когда британские войска под командованием генерала Джона Бергойна сдались в Саратоге на севере штата Нью-Йорк.	начали	SG -> PL
n01059019	Экономисты-республиканцы предупреждали, что эти данные будут приниматься как доказательство, что экономическая политика их партии является некомпетентной.	Экономисты-республиканцы предупреждали, что эти данные будут приниматься как доказательство, что экономическая политика их партии являются некомпетентной.	являются	SG -> PL
n01043005	Руководители также получили так называемую «сдельную заработную плату» за выполнение или превышение ожиданий, разделив между собой сумму в 1,5 миллиона долларов США, или в среднем 15000 долларов США каждый.	Руководители также получил так называемую «сдельную заработную плату» за выполнение или превышение ожиданий, разделив между собой сумму в 1,5 миллиона долларов США, или в среднем 15000 долларов США каждый.	получил	PL -> SG
n05007006	Он верит, что никто из ждущих нас не ждет нас.	Он верит, что никто из ждущих нас не ждут нас.	ждут	SG -> PL
n01112012	Потребитель же может повысить спрос на изменения.	Потребитель же могут повысить спрос на изменения.	могут	SG -> PL
n02011003	С помощью данных по дебетовым картам полиция города Эссен ведет расследование в отношении четырех людей, которые стояли и смотрели, как пенсионер умирал в банке.	С помощью данных по дебетовым картам полиция города Эссен ведет расследование в отношении четырех людей, которые стояли и смотрели, как пенсионер умирали в банке.	умирали	SG -> PL
n01133014	Голландским студентам еще предстоит решить, будут ли они зарабатывать на своих электромотоциклах.	Голландским студентам еще предстоит решить, будет ли они зарабатывать на своих электромотоциклах.	будет	PL -> SG
n01016014	Южнокорейская компания первоначально думала, что причиной проблемы стала неисправность батареи, и поменяла свой компонент на элемент питания, производимый другим производителем.	Южнокорейская компания первоначально думала, что причиной проблемы стали неисправность батареи, и поменяла свой компонент на элемент питания, производимый другим производителем.	стали	SG -> PL
n05003010	Источники, с которыми провели консультации, сказали, что это «точно Коспедаль».	Источники, с которыми провели консультации, сказал, что это «точно Коспедаль».	сказал	PL -> SG
n01002058	То, что она говорит и что она делает, на самом деле невероятно.	То, что она говорит и что она делают, на самом деле невероятно.	делают	SG -> PL
n01120010	У истории Досса есть необычное качество, которое делает ее еще более привлекательной.	У истории Досса есть необычное качество, которое делают ее еще более привлекательной.	делают	SG -> PL
w01026024	В 1987 году перевезенный по Дунаю объем продукции увеличился до 100 миллионов тонн.	В 1987 году перевезенный по Дунаю объем продукции увеличились до 100 миллионов тонн.	увеличились	SG -> PL
w04002055	В 1976 году ипподром больше не использовался; в 1990 году пожар уничтожил остатки деревянных трибун, которые позже были снесены вместе с конюшнями.	В 1976 году ипподром больше не использовался; в 1990 году пожар уничтожили остатки деревянных трибун, которые позже были снесены вместе с конюшнями.	уничтожили	SG -> PL
n01123024	Возможно, это не будет иметь значения, ведь я не буду долго о нем заботиться.	Возможно, это не будет иметь значения, ведь я не будем долго о нем заботиться.	будем	SG -> PL
