sent_id	sent_correct	sent_wrong	swap_head	feature_vals
w01067059	他仅统治了十五年，这从他很多未完工的建造工程中得到了印证。	他仅统治着十五年，这从他很多未完工的建造工程中得到了印证。	NA	NA
n01035004	尽管今天上午有照片发布，但B.C.的警方表示，他们对这个显然无家可归而被控致命刺伤阿伯茨福德高中的年轻女孩的人有疑问多于答案。	NA	NA	NA
n01110006	运气不差且拥有£10,000债券的投资人有望每年获得£125的奖金。	NA	NA	NA
w01007070	其警察队伍包括一个负责巡逻和监管船只的特别单元。	NA	NA	NA
n01022002	联合国回顾国家削减碳计划时说，他们非常难以实现保持全球气温上升2C下所需要的水平。	NA	NA	NA
w05005083	在1777年十月，当约翰·伯戈因将军指挥的英国军队在纽约州北部的萨拉托加投降时，事情就已经开始发生变化了。	NA	NA	NA
n01059019	共和党经济学家告诫不要采用这一数据，来证明他们政党蹩脚的经济政策。	NA	NA	NA
n01043005	高管们也收到因其成功或超出预期的所谓“绩效工资”，共享$150万，每人平均大约$15000元。	NA	NA	NA
n05007006	他坚信那些等我们的人并不是真的在等我们。	NA	NA	NA
n01112012	消费者可以刺激对改变的需求。	NA	NA	NA
n02011003	在藉记卡数据的帮助下，埃森的警察正在调查四名目击者，因为当一名退休员工在银行死掉的时候，他们在一旁袖手旁观。	NA	NA	NA
n01133014	荷兰学生还没决定是否要将电动摩托车商业化。	NA	NA	NA
n01016014	这家韩国公司最初以为电池故障是罪魁祸首，因而替代自己的组件改用第三方电源单元。	NA	NA	NA
n05003010	消息来源表示这是“100%属于科斯佩达尔”的。	NA	NA	NA
n01002058	她的所言所行，简直令人难以置信。	NA	NA	NA
n01120010	多斯（Doss）故事的另一个令人难以置信的特点，使其更有吸引力。	NA	NA	NA
w01026024	1987年，多瑙河上运输的货物数量上升至约一亿吨。	NA	NA	NA
w04002055	1976年，赛马场已经不再使用；1990年，一场大火吞噬了木制看台，其余部分也在之后和马厩一起被拆毁了。	NA	NA	NA
n01123024	或许这并不重要，因为离我摆脱困扰的日子不远了。	NA	NA	NA
n01150051	建筑不能帮助已故之人，但有助于他们的记忆在生者之中永保鲜活，他说。	NA	NA	NA
w01026037	多瑙河三角洲的大部分区域位于罗马尼亚（图尔恰郡），而其北部区域在奇莉娅湾(Chiliaarm)左岸，位于乌克兰（敖德萨州）境内。	NA	NA	NA
w01035081	农业用地实际上可能会因为周边地貌的破坏而受到影响。	NA	NA	NA
w01105057	这套系统是如此的成功，以至于在战后部队还继续使用这项技术，有些国家甚至在20世纪80年代仍在使用。	NA	NA	NA
w01084102	在16世纪与西方的往来中，因为建立起了利润可观的交易通道，带来了一系列长远的经济增长。	NA	NA	NA
w01092032	工业革命令人们对机器金属部件有所需求。	NA	NA	NA
