sen,verb,verb_idx,cop,cop_idx,child,child_idx,child_features,child_upos,head,head_idx,head_features,head_upos,distance,attractors,metadata,swap_head,feature_vals,prefix,wrong_sen,congruent_attractors,incongruent_attractors,num_attractors,num_congruent_attractors,num_incongruent_attractors,has_attractors,only_has_congruent_attractors,only_has_incongruent_attractors,sample_weight,phenomenon,lang,grammatical_feature,ungrammatical_feature,wo,inflect_item,agreement_certainty
kendi hatalarımı kendim yaptım bile diyemiyorum .,yaptım,3,,,kendim,2,"{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}",PRON,yaptım,3,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'yap'}",VERB,1,[],"{'sent_id': '15-8524.train', 'text': 'kendi hatalarımı kendim yaptım bile diyemiyorum .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}",yaptı,1 -> 3,kendi hatalarımı kendim,kendi hatalarımı kendim yaptı bile diyemiyorum .,[],[],0,0,0,False,False,False,0.0208235029966,SV-P,tur,1,3,SV,verb,+
Çoğumuz bir sersem tanıyoruz .,tanıyoruz,3,,,Çoğumuz,0,"{'PronType': 'Ind', 'lemma': 'çoğu'}",PRON,tanıyoruz,3,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'tanı'}",VERB,3,[],"{'sent_id': '15-5776.train', 'text': 'Çoğumuz bir sersem tanıyoruz .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}",tanıyorlar,1 -> 3,Çoğumuz bir sersem,Çoğumuz bir sersem tanıyorlar .,[],[],0,0,0,False,False,False,0.1207763173802805,SV-P,tur,1,3,SV,verb,+
"Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldum .",oldum,9,,,kendim,6,"{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}",PRON,oldum,9,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'ol'}",VERB,3,[],"{'sent_id': '2218.test', 'text': 'Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldum .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}",oldu,1 -> 3,"Bu ikinci firar teşebbüsünden sonra , kendim de pişman","Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldu .",[],[],0,0,0,False,False,False,0.0100646931150233,SV-P,tur,1,3,SV,verb,+
"Eleştirileri "" Ben Balzac okudum , "" diye cevaplıyor .",okudum,4,,,Ben,2,"{'PronType': 'Prs', 'lemma': 'ben'}",PRON,okudum,4,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'oku'}",VERB,2,[],"{'sent_id': '15-1112.train', 'text': 'Eleştirileri "" Ben Balzac okudum , "" diye cevaplıyor .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}",okudu,1 -> 3,"Eleştirileri "" Ben Balzac","Eleştirileri "" Ben Balzac okudu , "" diye cevaplıyor .",[],[],0,0,0,False,False,False,0.0005730786115315,SV-P,tur,1,3,SV,verb,+
"Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .",otururduk,11,,,Biz,0,"{'PronType': 'Prs', 'lemma': 'biz'}",PRON,otururduk,11,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'otur'}",VERB,11,"[{'id': 3, 'form': 'yolun', 'lemma': 'yol', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 4, 'form': 'üstünde', 'lemma': 'üst', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 6, 'form': 'kasabanın', 'lemma': 'kasaba', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 7, 'form': 'çıkış', 'lemma': 'çık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 8, 'form': 'yerinde', 'lemma': 'yer', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}]","{'sent_id': '3441.train', 'text': 'Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}",oturdular,1 -> 3,"Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa","Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa oturdular .",[],"[{'id': 3, 'form': 'yolun', 'lemma': 'yol', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 4, 'form': 'üstünde', 'lemma': 'üst', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 6, 'form': 'kasabanın', 'lemma': 'kasaba', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 7, 'form': 'çıkış', 'lemma': 'çık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 8, 'form': 'yerinde', 'lemma': 'yer', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}]",5,0,5,True,False,True,0.0010590798242694,SV-P,tur,1,3,SV,verb,+
Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık .,yaptık,8,,,Bizler,0,"{'PronType': 'Prs', 'lemma': 'biz'}",PRON,yaptık,8,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'yap'}",VERB,8,"[{'id': 4, 'form': 'bataklıktan', 'lemma': 'bataklık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Abl', 'Number': 'Sing', 'Person': '3'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'kurtarmak', 'lemma': 'kurtar', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 9, 'deprel': 'advcl', 'deps': None, 'misc': None}, {'id': 7, 'form': 'fazlasını', 'lemma': 'fazla', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 9, 'deprel': 'obj', 'deps': None, 'misc': None}]","{'sent_id': '0595.test', 'text': 'Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}",yaptılar,1 -> 3,Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile,Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptılar .,[],"[{'id': 4, 'form': 'bataklıktan', 'lemma': 'bataklık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Abl', 'Number': 'Sing', 'Person': '3'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'kurtarmak', 'lemma': 'kurtar', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 9, 'deprel': 'advcl', 'deps': None, 'misc': None}, {'id': 7, 'form': 'fazlasını', 'lemma': 'fazla', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 9, 'deprel': 'obj', 'deps': None, 'misc': None}]",3,0,3,True,False,True,0.0798848781734636,SV-P,tur,1,3,SV,verb,+
Ben de kendimce sınamak istedim bunu.,istedim,4,,,Ben,0,"{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'ben'}",PRON,istedim,4,"{'Aspect': 'Perf', 'Evident': 'Fh', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'lemma': 'iste'}",VERB,4,"[{'id': 3, 'form': 'kendimce', 'lemma': 'kendi', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Equ', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '1', 'Person[psor]': '1'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}]","{'sent_id': 'ins_1207', 'text': 'Ben de kendimce sınamak istedim bunu.', 'treebank': 'UD_Turkish-BOUN/tr_boun-ud-test.conllu'}",istedi,1 -> 3,Ben de kendimce sınamak,Ben de kendimce sınamak istedi bunu.,"[{'id': 3, 'form': 'kendimce', 'lemma': 'kendi', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Equ', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '1', 'Person[psor]': '1'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}]",[],1,1,0,True,True,False,0.0081828741083441,SV-P,tur,1,3,SV,verb,+
"Ben kaçıyorum , abim de arkamdan koşuyor .",kaçıyorum,1,,,Ben,0,"{'PronType': 'Prs', 'lemma': 'ben'}",PRON,kaçıyorum,1,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'kaç'}",VERB,1,[],"{'sent_id': 'Forward_Motion-0004.train', 'text': 'Ben kaçıyorum , abim de arkamdan koşuyor .', 'treebank': 'UD_Turkish-FrameNet/tr_framenet-ud-train.conllu'}",kaçıyor,1 -> 3,Ben,"Ben kaçıyor , abim de arkamdan koşuyor .",[],[],0,0,0,False,False,False,0.0002223149786113,SV-P,tur,1,3,SV,verb,+
"Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum .",okurum,14,,,kendim,13,"{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}",PRON,okurum,14,"{'Aspect': 'Hab', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'oku'}",VERB,1,[],"{'sent_id': '7386.train', 'text': 'Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}",okur,1 -> 3,"Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim","Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okur .",[],[],0,0,0,False,False,False,0.0624705089898002,SV-P,tur,1,3,SV,verb,+
"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.",duruyoruz,25,,,kendimiz,23,"{'Case': 'Nom', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person': '1', 'Person[psor]': '1', 'Reflex': 'Yes', 'lemma': 'kendi'}",PRON,duruyoruz,25,"{'Aspect': 'Imp', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'lemma': 'dur'}",VERB,2,[],"{'sent_id': 'ess_1320', 'text': 'Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.', 'treebank': 'UD_Turkish-BOUN/tr_boun-ud-train.conllu'}",duruyorlar,1 -> 3,"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi","Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyorlar? Müzik aletlerini göz önüne alalım.",[],[],0,0,0,False,False,False,0.0402587724600935,SV-P,tur,1,3,SV,verb,+
"Sevgili okurlar, hepimiz olmasak da bazılarımız kitap okumayı seven insanlarız.",olmasak,4,,,hepimiz,3,"{'Case': 'Nom', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person': '1', 'Person[psor]': '1', 'lemma': 'hep'}",PRON,olmasak,4,"{'Mood': 'Des', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Neg', 'lemma': 'ol'}",VERB,1,[],"{'sent_id': 'ess_1609', 'text': 'Sevgili okurlar, hepimiz olmasak da bazılarımız kitap okumayı seven insanlarız.', 'treebank': 'UD_Turkish-BOUN/tr_boun-ud-train.conllu'}",olmasalar,1 -> 3,"Sevgili okurlar, hepimiz","Sevgili okurlar, hepimiz olmasalar da bazılarımız kitap okumayı seven insanlarız.",[],[],0,0,0,False,False,False,0.0416470059932001,SV-P,tur,1,3,SV,verb,+
