sent_correct	sent_wrong
kendi hatalarımı kendim yaptım bile diyemiyorum .	kendi hatalarımı kendim yaptı bile diyemiyorum .
Çoğumuz bir sersem tanıyoruz .	Çoğumuz bir sersem tanıyorlar .
Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldum .	Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldu .
Eleştirileri " Ben Balzac okudum , " diye cevaplıyor .	Eleştirileri " Ben Balzac okudu , " diye cevaplıyor .
Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .	Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa oturdular .
Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık .	Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptılar .
Ben de kendimce sınamak istedim bunu.	Ben de kendimce sınamak istedi bunu.
Ben kaçıyorum , abim de arkamdan koşuyor .	Ben kaçıyor , abim de arkamdan koşuyor .
Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum .	Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okur .
Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak "sus!" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.	Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak "sus!" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyorlar? Müzik aletlerini göz önüne alalım.
Sevgili okurlar, hepimiz olmasak da bazılarımız kitap okumayı seven insanlarız.	Sevgili okurlar, hepimiz olmasalar da bazılarımız kitap okumayı seven insanlarız.
Ben aç yattım mı kötü kötü rüyalar görürüm nedense .	Ben aç yattım mı kötü kötü rüyalar görür nedense .
Merhaba dostum / Seni gökte ararken / Yerde buldum	Merhaba dostum / Seni gökte ararken / Yerde buldu
Ben de el yordamıyla çıkacağım bu yolculukta , yanıma neler alacağımı şöyle kaydettim .	Ben de el yordamıyla çıkacağım bu yolculukta , yanıma neler alacağımı şöyle kaydetti .
Ben bu sarı kâğıtlardan o kadar bezmişimdir ki güzelim sarı rengi de ondan dolayı boykot ettim .	Ben bu sarı kâğıtlardan o kadar bezmişimdir ki güzelim sarı rengi de ondan dolayı boykot etti .
Pazartesi hepimiz işbaşı yapıyoruz .	Pazartesi hepimiz işbaşı yapmaktadırlar .
Biz çıkaramadık.	Biz çıkarmadılar.
-Hayır kendim yazıyorum.	-Hayır kendim yazıyor.
Hepimiz Mustafa Kemal'in askerlik dehasına inanırdık .	Hepimiz Mustafa Kemal'in askerlik dehasına inandılar .
Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorduk .	Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak i̇stemedi̇ler .
Biz de kadınlar onu sevdi diye sevdik.	Biz de kadınlar onu sevdi diye sevdiler.
Hepimiz koleksiyoner olduk.	Hepimiz koleksiyoner oldular.
Sanırım hepimiz burada geçici olarak yaşıyoruz , beklenen ama korkunç artçı şoku bekliyoruz .	Sanırım hepimiz burada geçici olarak yaşiyorlar , beklenen ama korkunç artçı şoku bekliyoruz .
Hepimiz kıraathaneye gelen bu yabancıya dikkatle bakıyorduk.	Hepimiz kıraathaneye gelen bu yabancıya dikkatle bakıyorlardı.
Ama önce, Ben buraya taşınıyorum artık, seninle birlikte yaşamaya karar verdim, diye söze başladım.	Ama önce, Ben buraya taşınması artık, seninle birlikte yaşamaya karar verdim, diye söze başladım.
Karyolalarımızı kendimiz yapıyoruz.	Karyolalarımızı kendimiz yapıyorlar.
Biz , kadın , kız ve çocuk , on altı kişilik bir kafile olduk .	Biz , kadın , kız ve çocuk , on altı kişilik bir kafile oldular .
`` Ben kim olursa olsun kazanan kişi için üzülüyorum '' diyor Brezilyalı diplomat .	`` Ben kim olursa olsun kazanan kişi için üzülüyor '' diyor Brezilyalı diplomat .
Biz hâlâ evreni gezegenlerden ve yıldızlardan oluşan, yer çekimi denilen bir kuvvetin etkisiyle hareket eden bir düzen olarak görüyoruz.	Biz hâlâ evreni gezegenlerden ve yıldızlardan oluşan, yer çekimi denilen bir kuvvetin etkisiyle hareket eden bir düzen olarak görüyorlar.
Ben anlamam.	Ben anlamamak.
Biz size farklı yönlere bakan pencereler açmaya çalışıyoruz.	Biz size farklı yönlere bakan pencereler açmaya çalışıyorlar.
Bay Miller bunu veto etti : `` Ben bile bütün dipnotları anlayamıyorum , '' dedi .	Bay Miller bunu veto etti : `` Ben bile bütün dipnotları anlayamıyor , '' dedi .
Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorduk .	Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istediler .
-Ben bir şey yapmadım.	-Ben bir şey yapmadı.
Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .	Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa oturdular .
Pazartesi hepimiz işbaşı yapıyoruz .	Pazartesi hepimiz işbaşı yapiyorlar .
"Piyano ile anlat bakalım, bugün sokakta neler gördün?" Ben de piyanoda "arabalar gördüm" derdim.	"Piyano ile anlat bakalım, bugün sokakta neler gördün?" Ben de piyanoda "arabalar gördüm" derse.
Biz bu binanın masrafını çekeriz .	Biz bu binanın masrafını çekerler .
Ben bu sözü biraz daha kısaltarak tekrar edeceğim .	Ben bu sözü biraz daha kısaltarak tekrar edecek .
Biz doğrudan satıyoruz ! "	Biz doğrudan satıyorlar ! "
Ben zor dikiş dikiyorum.	Ben zor dikiş dikiliyor.
Lisede İngilizce öğretmenliği yapan Esin yengeme "Ben İngilizceyi hatırlıyorum" dediğimi; hatta bana İngilizce birkaç cümle söylediğini ve Türkçeye çevirdiğimi hatırlıyorum.	Lisede İngilizce öğretmenliği yapan Esin yengeme "Ben İngilizceyi hatırlıyor" dediğimi; hatta bana İngilizce birkaç cümle söylediğini ve Türkçeye çevirdiğimi hatırlıyorum.
Biz de kalkıp ilk gördüğümüz sinemaya daldık!	Biz de kalkıp ilk gördüğümüz sinemaya daldılar!
Ben , altın dişini çatır çatır söktüklerini gözlerimle gördüm .	Ben , altın dişini çatır çatır söktüklerini gözlerimle gördü .
Biz, ayna-ses'le yankı-ses'le ilgili olsak bile, anne değilsek, insan yavrusunun isteklerini yakıştırarak çıkarmaya çalışırız.	Biz, ayna-ses'le yankı-ses'le ilgili olsalar bile, anne değilsek, insan yavrusunun isteklerini yakıştırarak çıkarmaya çalışırız.
Ben bir an bile şüphe etmedim .	Ben bir an bile şüphe etmi̇yordu .
Ben üstümdeki elbise ile ve el çantamdaki iki çorapla kaldım .	Ben üstümdeki elbise ile ve el çantamdaki iki çorapla kaldı .
Biz nükleer silahların kontrolünü çok şey iyi sanmıyoruz , ancak konvansiyonel silah görüşmelerinde Doğu Avrupayı demilitarize edebilir .	Biz nükleer silahların kontrolünü çok şey iyi sanıyorlar , ancak konvansiyonel silah görüşmelerinde Doğu Avrupayı demilitarize edebilir .
Sanırım hepimiz burada geçici olarak yaşıyoruz , beklenen ama korkunç artçı şoku bekliyoruz .	Sanırım hepimiz burada geçici olarak yaşıyorlar , beklenen ama korkunç artçı şoku bekliyoruz .
`` Biz bütün bu piyasanın ciddi bir ekonomik kriz ile nasıl çalışacağını bilmiyoruz . ''	`` Biz bütün bu piyasanın ciddi bir ekonomik kriz ile nasıl çalışacağını bilmiyorlar . ''
Ben de en yararlı insanlar için en yararlı konutları yapmak gerekir diye düşündüm dedi.	Ben de en yararlı insanlar için en yararlı konutları yapmak gerekir diye düşündü dedi.
Biz , telif eser ayarında bir sanat kıymeti taşıyan tercümelere teşekkür edelim .	Biz , telif eser ayarında bir sanat kıymeti taşıyan tercümelere teşekkür etsinler .
Ben , Anafartalar'da Mustafa Kemal'in bulunduğu en ön siperlerde de kurşun attım .	Ben , Anafartalar'da Mustafa Kemal'in bulunduğu en ön siperlerde de kurşun attı .
Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorduk .	Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorlardı .
Babam onlara şunu söylemiş ti : "Ben kızımı balığa yem yaparım da bu aileye vermem." Annem kız kardeşimi Antakya'da yaşayan teyzeme gönderdi.	Babam onlara şunu söylemiş ti : "Ben kızımı balığa yem yaparım da bu aileye vermez." Annem kız kardeşimi Antakya'da yaşayan teyzeme gönderdi.
Ben ikisini de görmedim .	Ben ikisini de görmedi .
Ben se o günlerde, bütün gücümle İngiltere'de öğrendiklerimi değerlendirerek doçentlik tezimi yazıyordum.	Ben se o günlerde, bütün gücümle İngiltere'de öğrendiklerimi değerlendirerek doçentlik tezimi yazıyordu.
Ben de ona bu yüzden sert çıkıştım .	Ben de ona bu yüzden sert çıkıştı .
Ben de, "Hani siz YÖK'e karşı ydınız , yapmadığı yok, niye çağırdınız?" dedim.	Ben de, "Hani siz YÖK'e karşı ydınız , yapmadığı yok, niye çağırdınız?" dedi.
Ben konuşsam.	Ben konuşsa.
Yahudi kâtip de, genç tayfaya, "Şimdi git" der, "her yerde bu gece yaşadıklarını, bütün öyküyü anlat. " Kim bilir kaç cümle kurdun bugüne dek, şiirle hayatın kesişme noktasına göndermeleri olan: Ben, şiir ya da deneme, yazarak kendime bir yaşama alanı açıyorum.	Yahudi kâtip de, genç tayfaya, "Şimdi git" der, "her yerde bu gece yaşadıklarını, bütün öyküyü anlat. " Kim bilir kaç cümle kurdun bugüne dek, şiirle hayatın kesişme noktasına göndermeleri olan: Ben, şiir ya da deneme, yazarak kendime bir yaşama alanı açıyor.
Biz işte aile gibi bir şeyiz burada , büyük hanımı da kendimize uydurduk , yuvarlanıp gidiyoruz .	Biz işte aile gibi bir şeydir burada , büyük hanımı da kendimize uydurduk , yuvarlanıp gidiyoruz .
Ben de ondan iki sene sonra geliyorum ya.	Ben de ondan iki sene sonra geliyor ya.
Ben vahim durumu aktarıyorum.	Ben vahim durumu aktarıyor.
Ben kendi hesabıma bir parça Fransızca öğrenebilmek için akla karayı seçtim .	Ben kendi hesabıma bir parça Fransızca öğrenebilmek için akla karayı seçti .
Ben içmem.	Ben i̇çmez.
