Sentence	Characters	Bytes
كتبت كوري شولمان, المساعدة الخاصة لأوباما في تدوينة نشرتها يوم الإثنين: "فيما الكثير من عمليات الانتقال الرقمي غير مسبوقة في الولايات المتحدة, فإن الانتقال السلمي للسلطة سبق له أن حدث".	156	306
بالنسبة إلى أولئك الذين يتابعون الانتقال الخاص بوسائل التواصل الاجتماعي في الكابيتول هيل, سيكون الأمر مختلفاً بعض الشيء.	103	204
لكن بعيداً عن كلامه السابق بشأن الحد من الهجرة, أعلن المرشح الجمهوري أنه كرئيس سيسمح "بأعدادٍ هائلة" من المهاجرين الشرعيين على أساس "نظام الجدارة".	124	242
قال للحشد الذي تجمع في أحد الملاعب الرياضية الخاصة بجامعة كارولينا الشمالية.	65	129
تمول النفقات الجديدة من خلال حساب كلينتون المصرفي الكبير.	49	97
إن ما تقوله وما تفعله... في الواقع, إنه أمرٌ لا يصدق.	43	81
الحد الأقصى المسموح به للشخص الواحد هو 5000 دولار.	42	79
في أوائل شهر تشرين الأول, استخدم الفريق الانتقالي ذات المكان للقاء جماعات الضغط التكنولوجية, بحضور ممثلين عن شركة "أوبر" وجمعية الفيلم الأمريكي وجمعية مستهلكي التكنولوجيا وغيرها.	153	301
كان من المقرر في الأصل أن يقام التجمع في نادي المتروبوليتان في واشنطن في شارع "إتش" الذي لا يبعد كثيراً.	85	167
لربما كان الزي الواجب ارتداؤه خانقاً زيادة عن اللزوم.	45	89
على سبيل المثال, بدلاً من تدريس المنهج العلمي كوحدة منفصلة, يتعلم الطلاب المحتوى العلمي من خلال التطبيق.	88	173
حصلوا على المعدل الوطني العام بالنسبة إلى الصف الرابع, وأفضل من المعدل الوطني العام بالنسبة إلى الصف الثامن.	91	180
على سبيل المقارنة, تكلف الأمر 103,7 مليون دولار أمريكي لبناء محطة مترو "نوما" البينية التي افتتحت عام 2004.	90	167
قال جو ستيرنليب, رئيس منطقة جورجتاون لتطوير الأعمال: "نواجه الكثير من المنافسة, ونرى أن بوسع النقل بالمرور أن يساعد".	99	192
