Sentence	Tokens
كتبت كوري شولمان, المساعدة الخاصة لأوباما في تدوينة نشرتها يوم الإثنين: "فيما الكثير من عمليات الانتقال الرقمي غير مسبوقة في الولايات المتحدة, فإن الانتقال السلمي للسلطة سبق له أن حدث".	48
بالنسبة إلى أولئك الذين يتابعون الانتقال الخاص بوسائل التواصل الاجتماعي في الكابيتول هيل, سيكون الأمر مختلفاً بعض الشيء.	28
لكن بعيداً عن كلامه السابق بشأن الحد من الهجرة, أعلن المرشح الجمهوري أنه كرئيس سيسمح "بأعدادٍ هائلة" من المهاجرين الشرعيين على أساس "نظام الجدارة".	38
قال للحشد الذي تجمع في أحد الملاعب الرياضية الخاصة بجامعة كارولينا الشمالية.	17
تمول النفقات الجديدة من خلال حساب كلينتون المصرفي الكبير.	14
إن ما تقوله وما تفعله... في الواقع, إنه أمرٌ لا يصدق.	16
الحد الأقصى المسموح به للشخص الواحد هو 5000 دولار.	13
في أوائل شهر تشرين الأول, استخدم الفريق الانتقالي ذات المكان للقاء جماعات الضغط التكنولوجية, بحضور ممثلين عن شركة "أوبر" وجمعية الفيلم الأمريكي وجمعية مستهلكي التكنولوجيا وغيرها.	40
كان من المقرر في الأصل أن يقام التجمع في نادي المتروبوليتان في واشنطن في شارع "إتش" الذي لا يبعد كثيراً.	28
لربما كان الزي الواجب ارتداؤه خانقاً زيادة عن اللزوم.	16
على سبيل المثال, بدلاً من تدريس المنهج العلمي كوحدة منفصلة, يتعلم الطلاب المحتوى العلمي من خلال التطبيق.	24
حصلوا على المعدل الوطني العام بالنسبة إلى الصف الرابع, وأفضل من المعدل الوطني العام بالنسبة إلى الصف الثامن.	22
على سبيل المقارنة, تكلف الأمر 103,7 مليون دولار أمريكي لبناء محطة مترو "نوما" البينية التي افتتحت عام 2004.	29
قال جو ستيرنليب, رئيس منطقة جورجتاون لتطوير الأعمال: "نواجه الكثير من المنافسة, ونرى أن بوسع النقل بالمرور أن يساعد".	31
تقدر دراسة الجدوى أن المسافرين سيستغرقون نحو أربع دقائق لعبور نهر بوتوماك على متن الجندول.	27
أخبر شاهد عيان الشرطة أن الضحية هاجم المشتبه به في شهر نيسان الماضي.	18
ثمة أوجه تشابهٍ هنا بين الألعاب وحياتنا اليومية.	14
وارتفعت تلك النسبة باطراد بمرور السنين ـ11 بالمئة فقط من إجمالي الأصوات طرحت يوم الانتخابات عام 1996 وفق مكتب الإحصاءـ ويبدو أنها من المرجح أن ترتفع مجدداً هذا العام.	41
قد يكون "خنزير" خنزيراً وحيداً, غير أنه لا يترك وحده أبداً.	19
قال ثاقب: "طلبنا المساعدة من الدول الأخرى كي نملأ حديقة الحيوان بأنواعٍ مختلفة من الحيوانات بما فيها الخنازير".	29
قال السيد بانفالكار أنه شعر ذات مرة أن عليهم ترك المبنى.	15
وجهت إليها التهمة أيضاً بمحاولة قتل ابنتها ذات العامين.	15
صرحت الشرطة أن المرأة قتلت أندريه برايس الثالث من خلال ضغط وجهه بفرشة هوائية في غرفة جلوسها قبل أن تحاول فعل ذات الشيء مع ابنتها.	34
سأدخل السجن في كل الأحوال, آمل أن الأمر كان يستحق.	14
بدأت أولى اليزيديات بالبكاء, ثم تبعتها إحدى صديقاتها.	19
وقع السيد أوزبورن عقداً مع وكالة استشارية أمريكية بعد أن صرف من عمله في تموز.	20
قال مايكل فالون أن تاريخ البدء بقطع الفولاذ سيسهم في تأمين استثمارات جديدة وحفظ مئات الوظائف المهارية حتى عام 2035.	28
أطلق وعد البحرية الملكية بإجراء ترتيبات جديدة لتأمين صناعة السفن في نهر كلايد قبل استفتاء استقلال اسكتلندا عام 2014.	28
ويتجلى هذا بأبهى صوره عندما يكون اسم الشخص الشهير نادراً جداً في البداية.	20
وبحلول عام 2007, وفي عز رواجه (ورواج نايتلي ربما), كان الاسم من بين أكثر 50 اسماً رواجاً, وكان الأطفال الذين يحملون اسم Keira أكثر بثلاث مرات منمن يحملون اسم Kiera.	49
ظنت الشركة الكورية في البداية أن اللوم يقع على عاتق خطأٍ في البطارية, واستبدلت بطارياتها الخاصة لتحل محل بطاريات الشركات الموردة.	38
أشار العديد من المحللين أن هواوي في موقعٍ مثاليٍ للاستفادة من كبوة سامسونغ.	25
تفتقد هواتف "ميت 9" واجهة ذكاء صناعي تفاعلية مثل "غوغل أسيستانت" و "سيري" الخاصة بآبل.	33
لكن أحد خبراء السفريات نبه إلى أن الإنترنت خلال رحلات الطيران كان لا يعول عليه وكان من المستبعد أن يؤثر على اختيار المسافرين لشركات الطيران.	33
لكن قد يكون الأمر أن الخطوط الجوية البريطانية ومجموعة الخطوط الجوية الدولية (آي إيه جي) قررتا الانطلاق وتقديم شيءٍ يمكن الاعتماد عليه بعض الشيء.	32
قالت الشركة للبي بي سي أن أن المسؤولية تقع على عاتق كل شركة طيران لتحديد ما إذا كانت ستتقاضى رسوماً على استخدام الإنترنت.	30
قد يجد أغلب الناس أن "الواي-فاي" في المطارات أكثر فائدة من القدرة على إرسال الرسائل الإلكترونية داخل الطائرات.	25
أحياناً يكون أشبه بقوة عظمى.	9
يجني المشروع أمواله من خلال عقود الرعاية والإعلانات.	13
ستكون الدورة التي ستستمر مدة 10 أسابيع مصرحة من قبل الوكالة الاستخبارية البريطانية (مكاتب الاتصالات الحكومية البريطانية).	24
لكن بعض خبراء الأمن أثاروا تساؤلات بشأن الحاجة لهذه الدورة والغاية من ورائها.	18
لم ير الطائرات من قبل سوى بعض المدونين.	11
بطبيعة الحال, ستعرض الصين هذا الأسبوع العديد من القطع العسكرية الأخرى, من مروحيات هجومية وطائرات مائية.	26
ومع تأهب الصين لتكون أكبر سوقٍ في مجال الطيران في العالم خلال العقد المقبل, يشكل هذا المعرض فرصةً لبكين لتظهر طموحاتها في مجال الطيران المدني إلى جانب العكسري.	38
كتب جيسي لابروكا, مؤسس موقع "هاك فوروم" في رسالةٍ يشرح فيها سبب إقفال القسم: مجدداً للأسف, تفسد القلة الأمر على الكثرة.	39
من المرجح أن "الأحداث الأخيرة" هي هجمات 21 تشرين الأول والتي أوقفت عمل مواقع رائجة مؤقتاً مثل "ريديت" و"تويتر" و"سبوتيفاي" وغيرها.	41
تكشف التحليلات أن كميات تاريخية من البيانات كانت تستخدم لإحداث الاضطراب.	16
يقول تقرير الأمم المتحدة عن الخطط الوطنية للحد من انبعاثات الكربون أنها أقل من المستوى المطلوب للحفاظ على ارتفاع حرارة الأرض بمقدار أقل من درجتين مئويتين.	32
يقول العديد من العلماء أنه لا ضرورة إلى تقنيات تزيل الكربون من الجو من أجل تحقيق أهداف قمة باريس للمناخ.	24
