Language	Vocab_Size	Metric	Sentence	Value	Char_Count	Byte_Count	Token_Count
EN	32768	bpb	0	1.7911231360566064	74	74	28
EN	32768	bpb	1	1.097819738446162	190	190	49
EN	32768	bpb	2	1.0935275250568428	139	139	33
EN	32768	bpb	3	1.2844511896938	266	266	64
EN	32768	bpb	4	1.4163898325432345	147	147	39
EN	32768	bpb	5	1.8196181876408233	111	111	31
EN	32768	bpb	6	2.2444161275261063	28	28	11
EN	32768	bpb	7	2.032913185304541	108	108	27
EN	32768	bpb	8	2.1489064452381665	58	58	16
EN	32768	bpb	9	1.5724322980423524	70	70	16
EN	32768	bpb	10	1.0965116519781268	143	143	28
EN	32768	bpb	11	1.7080517783505185	128	128	30
EN	32768	bpb	12	1.825327297697661	110	110	30
EN	32768	bpb	13	0.9468406370899836	148	148	33
EN	32768	bpb	14	1.0500723623651445	181	181	40
EN	32768	bpb	15	1.3377986891273397	216	216	47
EN	32768	bpb	16	1.2557716827061889	162	164	45
EN	32768	bpb	17	1.4629320071659146	100	100	31
EN	32768	bpb	18	1.2263080031766336	134	134	33
EN	32768	bpb	19	1.2805466287044245	234	236	57
EN	32768	bpb	20	1.3690456249659606	82	82	19
EN	32768	bpb	21	1.4494418462644618	69	69	16
EN	32768	bpb	22	1.3335368320198973	166	166	44
EN	32768	bpb	23	1.8436570968971917	161	163	44
EN	32768	bpb	24	1.1299489957843072	128	128	29
EN	32768	bpb	25	0.8867013739280792	92	93	23
EN	32768	bpb	26	1.3493300656422338	113	113	23
EN	32768	bpb	27	1.396254656193664	164	164	36
EN	32768	bpb	28	2.043826524286803	94	94	30
EN	32768	bpb	29	1.4147297246778487	58	58	14
EN	32768	bpb	30	1.5351593023052368	212	216	55
EN	32768	bpb	31	1.347603084223596	212	212	50
EN	32768	bpb	32	1.4129717447051642	113	113	29
EN	32768	bpb	33	0.9931439777332188	130	130	28
EN	32768	bpb	34	1.0723810033736256	62	62	15
EN	32768	bpb	35	1.4247043402249224	78	78	20
EN	32768	bpb	36	1.1589987165734783	157	157	40
EN	32768	bpb	37	1.5749044395507612	97	97	25
EN	32768	bpb	38	1.639478149422284	77	77	19
EN	32768	bpb	39	1.5477081061261966	51	51	15
EN	32768	bpb	40	1.3571877237749872	92	92	25
