lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,1.0596851739839388
AR,bpe,49152,AR,bpb,1.0504290320784542
AR,bpe,65536,AR,bpb,1.0459538669253914
AR,bpe,81920,AR,bpb,1.0387344244588523
AR,bpe,8192,AR,bpb,1.0856214761500613
DE,bpe,32768,DE,bpb,1.2723821860928788
DE,bpe,49152,DE,bpb,1.2628469043386983
DE,bpe,65536,DE,bpb,1.250563219398168
DE,bpe,81920,DE,bpb,1.2430707535137067
DE,bpe,8192,DE,bpb,1.3075583399030901
EN,bpe,32768,EN,bpb,1.3494437291455077
EN,bpe,49152,EN,bpb,1.3372595385236146
EN,bpe,65536,EN,bpb,1.3310773931645496
EN,bpe,81920,EN,bpb,1.3223689651629535
EN,bpe,8192,EN,bpb,1.394376971144343
FI,bpe,32768,FI,bpb,1.3548895026079286
FI,bpe,49152,FI,bpb,1.3404546730955467
FI,bpe,65536,FI,bpb,1.3324441289959061
FI,bpe,81920,FI,bpb,1.3305920540960452
FI,bpe,8192,FI,bpb,1.4003874195014216
FR,bpe,32768,FR,bpb,1.3234892042707564
FR,bpe,49152,FR,bpb,1.3114814224765736
FR,bpe,65536,FR,bpb,1.2997812020755473
FR,bpe,81920,FR,bpb,1.2921975171705111
FR,bpe,8192,FR,bpb,1.3827683187046653
KO,bpe,32768,KO,bpb,1.3656768148073497
KO,bpe,49152,KO,bpb,1.3404990228567124
KO,bpe,65536,KO,bpb,1.3398968865523821
KO,bpe,81920,KO,bpb,1.3413628322237614
KO,bpe,8192,KO,bpb,1.3888965444081336
PL,bpe,32768,PL,bpb,1.5280976284611396
PL,bpe,49152,PL,bpb,1.5117886182962403
PL,bpe,65536,PL,bpb,1.5072440777468383
PL,bpe,81920,PL,bpb,1.4785132691275065
PL,bpe,8192,PL,bpb,1.5993463060734185
RU,bpe,32768,RU,bpb,0.9479915356345393
RU,bpe,49152,RU,bpb,0.9318897095351549
RU,bpe,65536,RU,bpb,0.9248327355263863
RU,bpe,81920,RU,bpb,0.9147394262704315
RU,bpe,8192,RU,bpb,0.9819825692256235
TR,bpe,32768,TR,bpb,1.3554956827541125
TR,bpe,49152,TR,bpb,1.3455610239902576
TR,bpe,65536,TR,bpb,1.338787083960506
TR,bpe,81920,TR,bpb,1.3307715841176564
TR,bpe,8192,TR,bpb,1.404958777451625
