lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
AR,bpe,32768,AR,bpb,1.0721727560030774,0
AR,bpe,49152,AR,bpb,1.062175420190595,0
AR,bpe,65536,AR,bpb,1.0583763276659781,0
AR,bpe,81920,AR,bpb,1.0527138029772591,0
AR,bpe,8192,AR,bpb,1.0936514010286433,0
DE,bpe,32768,DE,bpb,1.273726464748457,0
DE,bpe,49152,DE,bpb,1.2630270479505932,0
DE,bpe,65536,DE,bpb,1.2508367161332345,0
DE,bpe,81920,DE,bpb,1.2444532232367052,0
DE,bpe,8192,DE,bpb,1.3056562253460835,0
EN,bpe,32768,EN,bpb,1.352915334293611,0
EN,bpe,49152,EN,bpb,1.3406540532183067,0
EN,bpe,65536,EN,bpb,1.3335456279487818,0
EN,bpe,81920,EN,bpb,1.3256512750641982,0
EN,bpe,8192,EN,bpb,1.3990645135370694,0
FI,bpe,32768,FI,bpb,1.363714281728581,0
FI,bpe,49152,FI,bpb,1.3488674528124789,0
FI,bpe,65536,FI,bpb,1.3429874132326205,0
FI,bpe,81920,FI,bpb,1.3375037178768188,0
FI,bpe,8192,FI,bpb,1.4045155616007539,0
FR,bpe,32768,FR,bpb,1.328384622089676,0
FR,bpe,49152,FR,bpb,1.3168229969154197,0
FR,bpe,65536,FR,bpb,1.3033289722685126,0
FR,bpe,81920,FR,bpb,1.2961276584488126,0
FR,bpe,8192,FR,bpb,1.3799171377254913,0
KO,bpe,32768,KO,bpb,1.3690961545008054,0
KO,bpe,49152,KO,bpb,1.3416291026023837,0
KO,bpe,65536,KO,bpb,1.3426751293518748,0
KO,bpe,81920,KO,bpb,1.3441600279763228,0
KO,bpe,8192,KO,bpb,1.3869118964058271,0
PL,bpe,32768,PL,bpb,1.5259523364670144,0
PL,bpe,49152,PL,bpb,1.5059275393422977,0
PL,bpe,65536,PL,bpb,1.5031731707062035,0
PL,bpe,81920,PL,bpb,1.473496483352498,0
PL,bpe,8192,PL,bpb,1.596690322580135,0
RU,bpe,32768,RU,bpb,0.954014366859552,0
RU,bpe,49152,RU,bpb,0.9359005870134744,0
RU,bpe,65536,RU,bpb,0.929573724818129,0
RU,bpe,81920,RU,bpb,0.9190861606964313,0
RU,bpe,8192,RU,bpb,0.9864261100935829,0
TR,bpe,32768,TR,bpb,1.3569148711289236,0
TR,bpe,49152,TR,bpb,1.3480387438560426,0
TR,bpe,65536,TR,bpb,1.341794289257014,0
TR,bpe,81920,TR,bpb,1.333951586357151,0
TR,bpe,8192,TR,bpb,1.4074313685384492,0
ZH,bpe,32768,ZH,bpb,1.4727424936920357,0
ZH,bpe,49152,ZH,bpb,1.4719260272618797,0
ZH,bpe,65536,ZH,bpb,1.4742751443583408,0
ZH,bpe,81920,ZH,bpb,1.4767735008593617,0
ZH,bpe,8192,ZH,bpb,1.485962950193409,0
AR,bpe,32768,AR,cpb,1.927942634012411,0
AR,bpe,49152,AR,cpb,1.9099297157040616,0
AR,bpe,65536,AR,cpb,1.902627707170416,0
AR,bpe,81920,AR,cpb,1.8923983349132243,0
AR,bpe,8192,AR,cpb,1.9675346093089852,0
DE,bpe,32768,DE,cpb,1.2877144105698017,0
DE,bpe,49152,DE,cpb,1.27693495417241,0
DE,bpe,65536,DE,cpb,1.2646312638416515,0
DE,bpe,81920,DE,cpb,1.258134044385601,0
DE,bpe,8192,DE,cpb,1.3199519622845648,0
EN,bpe,32768,EN,cpb,1.3552047067014916,0
EN,bpe,49152,EN,cpb,1.3429542329001913,0
EN,bpe,65536,EN,cpb,1.3358493975704424,0
EN,bpe,81920,EN,cpb,1.3279449097321556,0
EN,bpe,8192,EN,cpb,1.401287052899741,0
FI,bpe,32768,FI,cpb,1.4322138914652685,0
FI,bpe,49152,FI,cpb,1.4165714592261562,0
FI,bpe,65536,FI,cpb,1.4106425373250155,0
FI,bpe,81920,FI,cpb,1.4047191295329324,0
FI,bpe,8192,FI,cpb,1.4754975781904538,0
FR,bpe,32768,FR,cpb,1.3628799580361006,0
FR,bpe,49152,FR,cpb,1.3510416688466902,0
FR,bpe,65536,FR,cpb,1.3372341885392522,0
FR,bpe,81920,FR,cpb,1.3298085745917776,0
FR,bpe,8192,FR,cpb,1.415706448107366,0
KO,bpe,32768,KO,cpb,3.371019555658008,0
KO,bpe,49152,KO,cpb,3.3063209622741545,0
KO,bpe,65536,KO,cpb,3.307086821027441,0
KO,bpe,81920,KO,cpb,3.307423514457166,0
KO,bpe,8192,KO,cpb,3.4197864115987424,0
PL,bpe,32768,PL,cpb,1.6248787172515566,0
PL,bpe,49152,PL,cpb,1.6032755748926306,0
PL,bpe,65536,PL,cpb,1.6002793654984078,0
PL,bpe,81920,PL,cpb,1.5684380663239357,0
PL,bpe,8192,PL,cpb,1.7005022611226035,0
RU,bpe,32768,RU,cpb,1.7092658721354252,0
RU,bpe,49152,RU,cpb,1.6765314037845187,0
RU,bpe,65536,RU,cpb,1.66493123318377,0
RU,bpe,81920,RU,cpb,1.6456345554020373,0
RU,bpe,8192,RU,cpb,1.7672126425639174,0
TR,bpe,32768,TR,cpb,1.4730260245540352,0
TR,bpe,49152,TR,cpb,1.4632600442618453,0
TR,bpe,65536,TR,cpb,1.4564316772935424,0
TR,bpe,81920,TR,cpb,1.4479209402646043,0
TR,bpe,8192,TR,cpb,1.5281776215380973,0
ZH,bpe,32768,ZH,cpb,4.2093739746579155,0
ZH,bpe,49152,ZH,cpb,4.207288297482787,0
ZH,bpe,65536,ZH,cpb,4.2136373724282095,0
ZH,bpe,81920,ZH,cpb,4.2210578551606845,0
ZH,bpe,8192,ZH,cpb,4.2494624701781385,0
AR,bpe,32768,AR,mrr,0.29801165836844595,0
AR,bpe,49152,AR,mrr,0.28983220590856146,0
AR,bpe,65536,AR,mrr,0.28700969621087635,0
AR,bpe,81920,AR,mrr,0.2883791907510964,0
AR,bpe,8192,AR,mrr,0.3347654799662588,0
DE,bpe,32768,DE,mrr,0.39214993167490797,0
DE,bpe,49152,DE,mrr,0.3912295020626858,0
DE,bpe,65536,DE,mrr,0.3904989810133535,0
DE,bpe,81920,DE,mrr,0.3886588982536492,0
DE,bpe,8192,DE,mrr,0.42079041927208743,0
EN,bpe,32768,EN,mrr,0.4122033674416947,0
EN,bpe,49152,EN,mrr,0.41163665862558135,0
EN,bpe,65536,EN,mrr,0.41049060022555023,0
EN,bpe,81920,EN,mrr,0.4124705442015594,0
EN,bpe,8192,EN,mrr,0.42517706306660386,0
FI,bpe,32768,FI,mrr,0.3759819502189194,0
FI,bpe,49152,FI,mrr,0.3671909680738889,0
FI,bpe,65536,FI,mrr,0.3618555442606507,0
FI,bpe,81920,FI,mrr,0.35810202299742805,0
FI,bpe,8192,FI,mrr,0.4179003406866993,0
FR,bpe,32768,FR,mrr,0.42156330639631945,0
FR,bpe,49152,FR,mrr,0.41963051996198536,0
FR,bpe,65536,FR,mrr,0.4186605158091872,0
FR,bpe,81920,FR,mrr,0.4148293652823103,0
FR,bpe,8192,FR,mrr,0.44868532313281867,0
KO,bpe,32768,KO,mrr,0.1839355649608019,0
KO,bpe,49152,KO,mrr,0.1717997179929187,0
KO,bpe,65536,KO,mrr,0.16428975564071863,0
KO,bpe,81920,KO,mrr,0.16073417923565836,0
KO,bpe,8192,KO,mrr,0.24021984712025996,0
PL,bpe,32768,PL,mrr,0.35427198176224955,0
PL,bpe,49152,PL,mrr,0.3481422373211046,0
PL,bpe,65536,PL,mrr,0.3418841624387635,0
PL,bpe,81920,PL,mrr,0.3437440113245752,0
PL,bpe,8192,PL,mrr,0.3964106609588121,0
RU,bpe,32768,RU,mrr,0.3475950633802929,0
RU,bpe,49152,RU,mrr,0.3430698029287532,0
RU,bpe,65536,RU,mrr,0.33943547144694686,0
RU,bpe,81920,RU,mrr,0.3390320240081629,0
RU,bpe,8192,RU,mrr,0.3883968838443792,0
TR,bpe,32768,TR,mrr,0.35071428801113885,0
TR,bpe,49152,TR,mrr,0.34676239925531493,0
TR,bpe,65536,TR,mrr,0.34313185428954734,0
TR,bpe,81920,TR,mrr,0.3425664806033617,0
TR,bpe,8192,TR,mrr,0.38418472307248,0
ZH,bpe,32768,ZH,mrr,0.14824928990771663,0
ZH,bpe,49152,ZH,mrr,0.12364229572047153,0
ZH,bpe,65536,ZH,mrr,0.10762345122442794,0
ZH,bpe,81920,ZH,mrr,0.0989683560180454,0
ZH,bpe,8192,ZH,mrr,0.24334351383223424,0
AR,bpe,32768,AR,ppl,185.34381071911525,0
AR,bpe,49152,AR,ppl,218.32459175177908,0
AR,bpe,65536,AR,ppl,243.22629243458763,0
AR,bpe,81920,AR,ppl,260.2919754202581,0
AR,bpe,8192,AR,ppl,89.00607259069452,0
DE,bpe,32768,DE,ppl,64.8627776184477,0
DE,bpe,49152,DE,ppl,71.35974457164154,0
DE,bpe,65536,DE,ppl,74.66657378946864,0
DE,bpe,81920,DE,ppl,77.2346999752337,0
DE,bpe,8192,DE,ppl,41.03398313366745,0
EN,bpe,32768,EN,ppl,54.1905946005397,0
EN,bpe,49152,EN,ppl,56.65681758376578,0
EN,bpe,65536,EN,ppl,58.17463381826783,0
EN,bpe,81920,EN,ppl,58.426416089825594,0
EN,bpe,8192,EN,ppl,41.84217877649406,0
FI,bpe,32768,FI,ppl,111.42507541348883,0
FI,bpe,49152,FI,ppl,135.37223453025646,0
FI,bpe,65536,FI,ppl,154.84059735464638,0
FI,bpe,81920,FI,ppl,171.01595803820751,0
FI,bpe,8192,FI,ppl,52.230270673969926,0
FR,bpe,32768,FR,ppl,46.52577602966811,0
FR,bpe,49152,FR,ppl,50.05031611168608,0
FR,bpe,65536,FR,ppl,51.29743205064092,0
FR,bpe,81920,FR,ppl,52.895570677000656,0
FR,bpe,8192,FR,ppl,33.00287273134743,0
KO,bpe,32768,KO,ppl,627.0420578684897,0
KO,bpe,49152,KO,ppl,816.8803381339834,0
KO,bpe,65536,KO,ppl,1048.9548643603362,0
KO,bpe,81920,KO,ppl,1261.8716709717105,0
KO,bpe,8192,KO,ppl,188.05166522607644,0
PL,bpe,32768,PL,ppl,122.00736476043402,0
PL,bpe,49152,PL,ppl,143.92208738441977,0
PL,bpe,65536,PL,ppl,164.947876747572,0
PL,bpe,81920,PL,ppl,167.8357009617235,0
PL,bpe,8192,PL,ppl,61.49399522829856,0
RU,bpe,32768,RU,ppl,128.59394310544133,0
RU,bpe,49152,RU,ppl,145.75987986931563,0
RU,bpe,65536,RU,ppl,164.4243582567201,0
RU,bpe,81920,RU,ppl,171.44094715478775,0
RU,bpe,8192,RU,ppl,66.0075437677151,0
TR,bpe,32768,TR,ppl,133.7840782604944,0
TR,bpe,49152,TR,ppl,162.12266981109647,0
TR,bpe,65536,TR,ppl,185.26500030327978,0
TR,bpe,81920,TR,ppl,202.79284014763275,0
TR,bpe,8192,TR,ppl,62.03096565443953,0
ZH,bpe,32768,ZH,ppl,933.9608189747729,0
ZH,bpe,49152,ZH,ppl,1462.436907324067,0
ZH,bpe,65536,ZH,ppl,2036.8934470872512,0
ZH,bpe,81920,ZH,ppl,2626.03252294619,0
ZH,bpe,8192,ZH,ppl,214.16433388741765,0
AR,bpe,32768,AR,sent-nll,43.78907500839233,0
AR,bpe,49152,AR,sent-nll,43.47759820928574,0
AR,bpe,65536,AR,sent-nll,43.41615415782928,0
AR,bpe,81920,AR,sent-nll,43.2057323307991,0
