lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,0.7997705924976924
AR,bpe,65536,AR,bpb,0.78064785525246
EN,bpe,32768,EN,bpb,1.055368897624805
EN,bpe,65536,EN,bpb,1.03177994397185
ZH,bpe,32768,ZH,bpb,1.198951740090681
ZH,bpe,65536,ZH,bpb,1.1838155111380293
AR,bpe,32768,AR,cpb,1.4403482147981879
AR,bpe,65536,AR,cpb,1.4056800270002778
EN,bpe,32768,EN,cpb,1.056630964984339
EN,bpe,65536,EN,cpb,1.0330063257741486
ZH,bpe,32768,ZH,cpb,3.3601344901232397
ZH,bpe,65536,ZH,cpb,3.316715082562146
AR,bpe,32768,AR,mrr,0.3874647023129084
AR,bpe,65536,AR,mrr,0.3752277449659531
EN,bpe,32768,EN,mrr,0.4787481151639303
EN,bpe,65536,EN,mrr,0.477578392296344
ZH,bpe,32768,ZH,mrr,0.30886400565454825
ZH,bpe,65536,ZH,mrr,0.28170451797603613
AR,bpe,32768,AR,ppl,66.03839747370944
AR,bpe,65536,AR,ppl,81.08731868575421
EN,bpe,32768,EN,ppl,30.779591953564122
EN,bpe,65536,EN,ppl,32.57886023881908
ZH,bpe,32768,ZH,ppl,138.20943958615388
ZH,bpe,65536,ZH,ppl,208.12430415390276
AR,bpe,32768,AR,sent-nll,77.85510121520758
AR,bpe,65536,AR,sent-nll,76.47913138825893
EN,bpe,32768,EN,sent-nll,67.43280477144718
EN,bpe,65536,EN,sent-nll,66.40101080572605
ZH,bpe,32768,ZH,sent-nll,68.5604546697855
ZH,bpe,65536,ZH,sent-nll,68.18078663287163
AR,bpe,32768,AR,token-nll,4.190236352762795
AR,bpe,65536,AR,token-nll,4.395526582504662
EN,bpe,32768,EN,token-nll,3.4268518714535983
EN,bpe,65536,EN,token-nll,3.4836636191003025
ZH,bpe,32768,ZH,token-nll,4.928770212808162
ZH,bpe,65536,ZH,token-nll,5.338135517324448
