lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,0.9474616400264091
AR,bpe,65536,AR,bpb,0.9333379606573207
EN,bpe,32768,EN,bpb,1.368999968551611
EN,bpe,65536,EN,bpb,1.3457031955611107
ZH,bpe,32768,ZH,bpb,1.4749935912332508
ZH,bpe,65536,ZH,bpb,1.4659466564265207
AR,bpe,32768,AR,cpb,1.7183854771800642
AR,bpe,65536,AR,cpb,1.6927647240264714
EN,bpe,32768,EN,cpb,1.370257125867845
EN,bpe,65536,EN,cpb,1.3469369257306159
ZH,bpe,32768,ZH,cpb,4.144167891203721
ZH,bpe,65536,ZH,cpb,4.117800533073427
AR,bpe,32768,AR,mrr,0.3283351621405218
AR,bpe,65536,AR,mrr,0.3063363167591858
EN,bpe,32768,EN,mrr,0.36567490623570864
EN,bpe,65536,EN,mrr,0.35239484238994095
ZH,bpe,32768,ZH,mrr,0.32464350206794096
ZH,bpe,65536,ZH,mrr,0.29240239902046394
AR,bpe,32768,AR,ppl,124.7712385437975
AR,bpe,65536,AR,ppl,176.92305001401658
EN,bpe,32768,EN,ppl,92.76201572281849
EN,bpe,65536,EN,ppl,112.57397611559934
ZH,bpe,32768,ZH,ppl,136.3616708177311
ZH,bpe,65536,ZH,ppl,208.46843176904252
AR,bpe,32768,AR,sent-nll,134.25096350130826
AR,bpe,65536,AR,sent-nll,132.30342299193734
EN,bpe,32768,EN,sent-nll,122.56937551498413
EN,bpe,65536,EN,sent-nll,120.53891520820588
ZH,bpe,32768,ZH,sent-nll,121.9122343741858
ZH,bpe,65536,ZH,sent-nll,121.25410538699788
AR,bpe,32768,AR,token-nll,4.826481968989014
AR,bpe,65536,AR,token-nll,5.175714892361004
EN,bpe,32768,EN,token-nll,4.53003724266889
EN,bpe,65536,EN,token-nll,4.723610571015023
ZH,bpe,32768,ZH,token-nll,4.915310700184743
ZH,bpe,65536,ZH,token-nll,5.339787623392263
