lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
AR,bpe,32768,AR,bpb,1.253343823255939,0
AR,bpe,49152,AR,bpb,1.2487860092225356,0
AR,bpe,65536,AR,bpb,1.2446177192087866,0
AR,bpe,81920,AR,bpb,1.2441783692077302,0
AR,bpe,8192,AR,bpb,1.2683175886230835,0
DE,bpe,32768,DE,bpb,1.5856262064300706,0
DE,bpe,49152,DE,bpb,1.5883985246720898,0
DE,bpe,65536,DE,bpb,1.5902678757425004,0
DE,bpe,81920,DE,bpb,1.5842139896666392,0
DE,bpe,8192,DE,bpb,1.5968890548778305,0
EN,bpe,32768,EN,bpb,1.7173072185380533,0
EN,bpe,49152,EN,bpb,1.713170969803437,0
EN,bpe,65536,EN,bpb,1.6983589047325263,0
EN,bpe,81920,EN,bpb,1.6924537512265199,0
EN,bpe,8192,EN,bpb,1.7444760176318514,0
FI,bpe,32768,FI,bpb,1.7069365578489464,0
FI,bpe,49152,FI,bpb,1.7098746441943466,0
FI,bpe,65536,FI,bpb,1.718750852417855,0
FI,bpe,81920,FI,bpb,1.7219041289578823,0
FI,bpe,8192,FI,bpb,1.6931413822236077,0
FR,bpe,32768,FR,bpb,1.4818737844813437,0
FR,bpe,49152,FR,bpb,1.4829617081568103,0
FR,bpe,65536,FR,bpb,1.475922028420785,0
FR,bpe,81920,FR,bpb,1.471619477318559,0
FR,bpe,8192,FR,bpb,1.500909300723855,0
KO,bpe,32768,KO,bpb,1.6645534469279368,0
KO,bpe,49152,KO,bpb,1.660461731370756,0
KO,bpe,65536,KO,bpb,1.6567181756999212,0
KO,bpe,81920,KO,bpb,1.6607303393995898,0
KO,bpe,8192,KO,bpb,1.6622453035522362,0
PL,bpe,32768,PL,bpb,1.7383652765791096,0
PL,bpe,49152,PL,bpb,1.7447617265422786,0
PL,bpe,65536,PL,bpb,1.7530036821412576,0
PL,bpe,81920,PL,bpb,1.7547776621374356,0
PL,bpe,8192,PL,bpb,1.740632374140946,0
RU,bpe,32768,RU,bpb,0.9599527855308851,0
RU,bpe,49152,RU,bpb,0.9537738724856342,0
RU,bpe,65536,RU,bpb,0.959727825518982,0
RU,bpe,81920,RU,bpb,0.9589192697211204,0
RU,bpe,8192,RU,bpb,0.9634026765733454,0
TR,bpe,32768,TR,bpb,1.5812317379991054,0
TR,bpe,49152,TR,bpb,1.5857592649164653,0
TR,bpe,65536,TR,bpb,1.5868650328530451,0
TR,bpe,81920,TR,bpb,1.5836179308354494,0
TR,bpe,8192,TR,bpb,1.5782265928275236,0
ZH,bpe,32768,ZH,bpb,1.9723620231860777,0
ZH,bpe,49152,ZH,bpb,1.985337453079933,0
ZH,bpe,65536,ZH,bpb,1.9920665975709453,0
ZH,bpe,81920,ZH,bpb,1.9985765043434116,0
ZH,bpe,8192,ZH,bpb,1.9695649041326087,0
AR,bpe,32768,AR,cpb,2.262558072685571,0
AR,bpe,49152,AR,cpb,2.2545615047853826,0
AR,bpe,65536,AR,cpb,2.2469659062821385,0
AR,bpe,81920,AR,cpb,2.246213847891383,0
AR,bpe,8192,AR,cpb,2.2895658294353596,0
DE,bpe,32768,DE,cpb,1.6123485823401065,0
DE,bpe,49152,DE,cpb,1.6151808466358675,0
DE,bpe,65536,DE,cpb,1.6171467373507205,0
DE,bpe,81920,DE,cpb,1.6110119207725928,0
DE,bpe,8192,DE,cpb,1.6237640777694493,0
EN,bpe,32768,EN,cpb,1.7223361718724328,0
EN,bpe,49152,EN,cpb,1.7181423264307016,0
EN,bpe,65536,EN,cpb,1.703336626000356,0
EN,bpe,81920,EN,cpb,1.697494914630321,0
EN,bpe,8192,EN,cpb,1.749481513538532,0
FI,bpe,32768,FI,cpb,1.7776435343833792,0
FI,bpe,49152,FI,cpb,1.78065497715564,0
FI,bpe,65536,FI,cpb,1.7897688671620233,0
FI,bpe,81920,FI,cpb,1.7930501467482034,0
FI,bpe,8192,FI,cpb,1.7632336720896113,0
FR,bpe,32768,FR,cpb,1.5391001985365105,0
FR,bpe,49152,FR,cpb,1.5402136057112543,0
FR,bpe,65536,FR,cpb,1.5329809701997261,0
FR,bpe,81920,FR,cpb,1.5286032587337872,0
FR,bpe,8192,FR,cpb,1.5589623093242622,0
KO,bpe,32768,KO,cpb,4.030360442962853,0
KO,bpe,49152,KO,cpb,4.020091319445302,0
KO,bpe,65536,KO,cpb,4.01033319906398,0
KO,bpe,81920,KO,cpb,4.019589313775168,0
KO,bpe,8192,KO,cpb,4.0245711690330115,0
PL,bpe,32768,PL,cpb,1.848032845908384,0
PL,bpe,49152,PL,cpb,1.8550979260788332,0
PL,bpe,65536,PL,cpb,1.86388016858109,0
PL,bpe,81920,PL,cpb,1.8658417088247543,0
PL,bpe,8192,PL,cpb,1.850621770601763,0
RU,bpe,32768,RU,cpb,1.7480404834964185,0
RU,bpe,49152,RU,cpb,1.7367109221148793,0
RU,bpe,65536,RU,cpb,1.747316190621825,0
RU,bpe,81920,RU,cpb,1.7459278548689732,0
RU,bpe,8192,RU,cpb,1.7538676393230619,0
TR,bpe,32768,TR,cpb,1.7231704133459043,0
TR,bpe,49152,TR,cpb,1.7280292625324096,0
TR,bpe,65536,TR,cpb,1.72918941576445,0
TR,bpe,81920,TR,cpb,1.7255632469860815,0
TR,bpe,8192,TR,cpb,1.7198341158778043,0
ZH,bpe,32768,ZH,cpb,5.618077441437326,0
ZH,bpe,49152,ZH,cpb,5.655086668273083,0
ZH,bpe,65536,ZH,cpb,5.6733835469390295,0
ZH,bpe,81920,ZH,cpb,5.692860478769317,0
ZH,bpe,8192,ZH,cpb,5.609832435935515,0
AR,bpe,32768,AR,mrr,0.20344678333903568,0
AR,bpe,49152,AR,mrr,0.18769152286008986,0
AR,bpe,65536,AR,mrr,0.18131752093854725,0
AR,bpe,81920,AR,mrr,0.17483874107933492,0
AR,bpe,8192,AR,mrr,0.2725354661427314,0
DE,bpe,32768,DE,mrr,0.277485368384193,0
DE,bpe,49152,DE,mrr,0.2602459290695307,0
DE,bpe,65536,DE,mrr,0.2513335752373795,0
DE,bpe,81920,DE,mrr,0.25008277971219406,0
DE,bpe,8192,DE,mrr,0.36128803914705404,0
EN,bpe,32768,EN,mrr,0.2830261568629008,0
EN,bpe,49152,EN,mrr,0.2749985554591557,0
EN,bpe,65536,EN,mrr,0.2754610124646141,0
EN,bpe,81920,EN,mrr,0.27618742151155007,0
EN,bpe,8192,EN,mrr,0.34071717573639065,0
FI,bpe,32768,FI,mrr,0.27117929486559866,0
FI,bpe,49152,FI,mrr,0.25248178811910843,0
FI,bpe,65536,FI,mrr,0.23408788061881905,0
FI,bpe,81920,FI,mrr,0.2210524341955877,0
FI,bpe,8192,FI,mrr,0.3549614472105666,0
FR,bpe,32768,FR,mrr,0.3343880695059319,0
FR,bpe,49152,FR,mrr,0.3185420175663784,0
FR,bpe,65536,FR,mrr,0.3152545479454422,0
