Sentence	VocabSize	Tokens
"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	32768	28
Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.	32768	49
Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	32768	33
On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.	32768	64
Danius said, "Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."	32768	39
Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.	32768	31
He built a WiFi door bell, he said.	32768	11
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.	32768	27
In late 2017, Siminoff appeared on shopping television channel QVC.	32768	16
Ring also settled a lawsuit with competing security company, the ADT Corporation.	32768	16
While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	32768	28
One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.	32768	30
In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.	32768	30
USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.	32768	33
We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	32768	40
USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.	32768	47
USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.	32768	45
Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.	32768	31
During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.	32768	33
As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	32768	57
The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.	32768	19
Gosling and Stone received nominations for Best Actor and Actress respectively.	32768	16
The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.	32768	44
Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.	32768	44
Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.	32768	29
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.	32768	23
Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.	32768	23
This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	32768	36
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.	32768	30
The find also grants insight into the evolution of feathers in birds.	32768	14
Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	32768	55
The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	32768	50
The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	32768	29
A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.	32768	28
The governor's office said nineteen of the injured were police officers.	32768	15
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.	32768	20
They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.	32768	40
The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.	32768	25
The smaller the Rossby number, the less active the star with respect to magnetic reversals.	32768	19
During his trip, Iwasaki ran into trouble on many occasions.	32768	15
He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.	32768	25
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.	32768	24
This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.	32768	36
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.	32768	29
Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.	32768	28
When asked for comment, Miller said, "Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."	32768	33
"We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level," Hu said.	32768	27
He did not set a figure for the cuts, saying they will be made based on China's economic output.	32768	22
Hu encouraged developing countries "to avoid the old path of polluting first and cleaning up later."	32768	19
He added that "they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."	32768	27
The Iraq Study Group presented its report at 12.00 GMT today.	32768	15
It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.	32768	31
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.	32768	26
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.	32768	27
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	32768	40
