,Sentences,Values
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",79.5
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",117.6875
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",92.5625
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",212.0
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",135.625
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",134.5
6,"He built a WiFi door bell, he said.",49.1875
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,121.625
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",65.4375
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",73.125
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",116.3125
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",127.5625
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",105.875
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,110.875
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",130.875
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,207.25
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",130.25
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",80.875
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",99.6875
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",208.375
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",57.1875
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,54.28125
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",87.5
23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",131.875
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",91.3125
25,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,45.5
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",107.0625
27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",148.5
28,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,96.0625
29,The find also grants insight into the evolution of feathers in birds.,54.25
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",190.0
31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",196.25
32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",123.625
33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",80.5
34,The governor's office said nineteen of the injured were police officers.,47.96875
35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,61.84375
36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.",114.375
37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",81.4375
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",61.625
39,"During his trip, Iwasaki ran into trouble on many occasions.",63.0
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",103.0625
41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,51.5
42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",81.9375
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,74.25
44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.",96.125
45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""",107.125
46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",85.5
47,"He did not set a figure for the cuts, saying they will be made based on China's economic output.",75.375
48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",82.5
49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",93.625
50,The Iraq Study Group presented its report at 12.00 GMT today.,57.4375
51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",128.0
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,85.875
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,93.9375
54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,131.25
55,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",97.4375
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",123.3125
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",147.5
58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,87.75
59,Over four million people went to Rome to attend the funeral.,39.75
60,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,83.75
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,61.90625
62,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.",102.8125
63,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",123.25
64,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,112.75
65,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",96.3125
66,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.",78.5
67,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",101.0
68,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",61.59375
69,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,86.1875
70,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.",90.625
71,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",153.125
72,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.",147.375
73,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",192.125
74,"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.",153.25
75,"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.",120.3125
76,"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.",125.5
77,Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,98.875
78,U.S. President George W. Bush welcomed the announcement.,28.921875
79,"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""",104.3125
80,"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.",89.75
81,The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.,65.6875
82,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,72.8125
83,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.",121.1875
84,Water is spilling over the levee in a section 100 feet wide.,54.03125
85,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,102.25
86,"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""",155.375
87,The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.,130.875
88,"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.",80.0
89,The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.,90.0625
90,"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.",88.625
91,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,78.5625
92,"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",100.0
93,Television reports show white smoke coming from the plant.,40.0
94,"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.",82.875
95,"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.",75.0625
96,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,98.8125
97,Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.,99.125
98,"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate.""",78.3125
99,"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.",97.5625
100,"In one year's time, an infected person may infect 10 to 15 close contacts.",56.8125
101,"However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.",134.625
102,"The satellites, both of which weighed in excess of 1,000 pounds, and traveling at approximately 17,500 miles per hour, collided 491 miles above the Earth.",103.3125
103,Scientists say the explosion caused by the collision was massive.,39.78125
104,They are still trying to determine just how large the crash was and how the Earth will be affected.,59.84375
105,The United States Strategic Command of the U.S. Department of Defense office is tracking the debris.,66.3125
106,The result of plotting analysis will be posted to a public website.,56.03125
107,"A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.",110.5
108,"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",196.5
109,She directed officers to her black Oldsmobile Intrigue which was 500 feet away.,92.9375
110,"There, they found the body of Saroja Balasubramanian, 53, covered with blood-stained blankets.",77.8125
111,Police said that the body appeared to have been there for about a day.,37.96875
112,The first cases of the disease this season were reported in late July.,47.46875
113,"The disease is carried by pigs, which then migrates to humans through mosquitos.",58.09375
114,"The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides.",137.25
115,"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.",96.5625
116,Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.,112.375
117,"In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.",98.8125
118,"He produced over 1,000 stamps for Sweden and 28 other countries.",56.3125
119,"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone.",122.5625
120,"His 1,000th stamp was the magnificent ""Great Deeds by Swedish Kings"" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records.",157.75
121,"He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.",137.125
122,"After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.",45.40625
123,"The truck driver, who is aged 64, was not injured in the crash.",42.1875
124,The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.,60.09375
125,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""",90.5
126,They all ran back from where the accident had happened.,41.03125
127,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",104.875
128,The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,70.0625
129,"The money could go toward flood-proof houses, better water management, and crop diversification.",74.125
130,Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.,94.5
131,She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.,131.375
132,"When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.",101.0625
133,"Negotiators tried to rectify the situation, but the prisoners' demands are not clear.",66.125
134,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",70.1875
135,"Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.",69.1875
136,Fire rescue crews eventually doused the fire by 11:35 pm.,70.3125
137,"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.",77.625
138,"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.",74.375
139,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",71.75
140,"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.",93.75
141,"No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.",108.3125
142,"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.",69.5625
143,"Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.",71.6875
144,"""This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.""",60.0
145,"Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.",88.25
146,"The ruling party, South West Africa People's Organisation (SWAPO), also retained a majority in the parliamentary elections.",73.4375
147,Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.,87.0625
148,"The crash occurred high up in mountainous terrain, and is believed to have been the result of hostile fire.",64.75
149,Efforts to search for the crash site are being met by bad weather and harsh terrain.,63.0625
150,"The medical charity Mangola, Medecines Sans Frontieres and the World Health Organisation say it is the worst outbreak recorded in the country.",99.25
151,"Spokesman for Medecines Sans Frontiere Richard Veerman said: ""Angola is heading for its worst ever outbreak and the situation remains very bad in Angola,"" he said.",136.75
152,"The games kicked off at 10:00am with great weather and apart from mid morning drizzle which quickly cleared up, it was a perfect day for 7's rugby.",126.6875
153,Tournament top seeds South Africa started on the right note when they had a comfortable 26 - 00 win against 5th seeded Zambia.,120.625
154,"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.",100.875
155,"Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.",95.3125
156,Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,132.25
157,"It had been scheduled to be cut down on Tuesday, but was saved after an emergency court ruling.",66.9375
158,"All of the cave entrances, which were named ""The Seven Sisters"", are at least 100 to 250 meters (328 to 820 feet) in diameter.",96.0
159,Infrared images show that the temperature variations from night and day show that they are likely caves.,83.1875
160,"""They are cooler than the surrounding surface in the day and warmer at night.",64.875
161,"Their thermal behavior is not as steady as large caves on Earth that often maintain a fairly constant temperature, but it is consistent with these being deep holes in the ground,"" said Glen Cushing of the United States Geological Survey (USGS) Astrogeology Team and of Northern Arizona University located in Flagstaff, Arizona.",223.0
162,"In France, voting has traditionally been a low-tech experience: voters isolate themselves in a booth, put a pre-printed sheet of paper indicating their candidate of choice into an envelope.",123.375
163,"After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.",73.4375
164,French electoral law rather strictly codifies the proceedings.,53.5625
165,"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.",159.875
166,"Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.",111.25
167,"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.",140.625
168,But the consumer market on laptop computer will be radically varied and changed after ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China.,149.0
169,"The station's web site describes the show as ""old school radio theater with a new and outrageous geeky spin!""",96.0
170,"In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.",128.0
171,"In late 2015, TogiNet established AstroNet Radio as a subsidiary station.",87.9375
172,"The show originally featured amateur voice actors, local to East Texas.",66.125
173,"Widespread looting reportedly continued overnight, as law enforcement officers were not present on Bishkek's streets.",94.5
174,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",123.625
175,Several Bishkek residents blamed protesters from the south for the lawlessness.,71.1875
176,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Bafokeng Stadium in Rustenburg, South Africa.",104.125
177,"The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.",85.4375
178,"For the Springboks, it ended a five-match losing streak.",45.0
179,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.",56.1875
180,"The final match of the series will take place at Ellis Park in Johannesburg next week, when the Springboks play Australia.",67.25
181,A moderate earthquake shook western Montana at 10:08 p.m. on Monday.,60.0625
182,No immediate reports of damage have been received by the United States Geological Survey (USGS) and its National Earthquake Information Center.,63.09375
183,"The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.",77.1875
184,"The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.",135.375
185,"France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.",77.125
