lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,1.0180625564471095
AR,bpe,65536,AR,bpb,1.004196624268609
EN,bpe,32768,EN,bpb,1.427596930777929
EN,bpe,65536,EN,bpb,1.4031547878457036
ZH,bpe,32768,ZH,bpb,1.5330053959595187
ZH,bpe,65536,ZH,bpb,1.5213670791886034
AR,bpe,32768,AR,cpb,1.837155008036656
AR,bpe,65536,AR,cpb,1.812197266332319
EN,bpe,32768,EN,cpb,1.4326117216699603
EN,bpe,65536,EN,cpb,1.4081009365756567
ZH,bpe,32768,ZH,cpb,4.369158613090582
ZH,bpe,65536,ZH,cpb,4.335069590108022
AR,bpe,32768,AR,mrr,0.29541779701623727
AR,bpe,65536,AR,mrr,0.26946960881966264
EN,bpe,32768,EN,mrr,0.3539641691496681
EN,bpe,65536,EN,mrr,0.34788251908303874
ZH,bpe,32768,ZH,mrr,0.29037590354644877
ZH,bpe,65536,ZH,mrr,0.26322359694645736
AR,bpe,32768,AR,ppl,183.17792525343427
AR,bpe,65536,AR,ppl,268.02500570274304
EN,bpe,32768,EN,ppl,106.21552073473875
EN,bpe,65536,EN,ppl,128.67368836834908
ZH,bpe,32768,ZH,ppl,195.0505921681903
ZH,bpe,65536,ZH,ppl,296.4094445607915
AR,bpe,32768,AR,sent-nll,116.90548077869416
AR,bpe,65536,AR,sent-nll,115.52145473766326
EN,bpe,32768,EN,sent-nll,107.04644502449035
EN,bpe,65536,EN,sent-nll,105.43564286708832
ZH,bpe,32768,ZH,sent-nll,107.49140332746505
ZH,bpe,65536,ZH,sent-nll,106.8109151749611
AR,bpe,32768,AR,token-nll,5.210457949638367
AR,bpe,65536,AR,token-nll,5.59108028101921
EN,bpe,32768,EN,token-nll,4.665470244407654
EN,bpe,65536,EN,token-nll,4.857279652118683
ZH,bpe,32768,ZH,token-nll,5.27325897192955
ZH,bpe,65536,ZH,token-nll,5.691741757154465
