lang,tokenization,vocab_size,eval_data,metric_type,mean_value
DE,bpe,32768,de-ar,mrr,0.2705765679628363
DE,bpe,49152,de-ar,mrr,0.25429264043664734
DE,bpe,65536,de-ar,mrr,0.24671006805717732
DE,bpe,81920,de-ar,mrr,0.24256477427787507
DE,bpe,8192,de-ar,mrr,0.3469855693482108
DE,bpe,32768,de-arp,mrr,0.2577632993807636
DE,bpe,49152,de-arp,mrr,0.24121067206132968
DE,bpe,65536,de-arp,mrr,0.2332264433810138
DE,bpe,81920,de-arp,mrr,0.23010651967918544
DE,bpe,8192,de-arp,mrr,0.3395221204765051
DE,bpe,32768,de-p,mrr,0.2608573119194457
DE,bpe,49152,de-p,mrr,0.24337937302822557
DE,bpe,65536,de-p,mrr,0.23675062535629854
DE,bpe,81920,de-p,mrr,0.23202129341534403
DE,bpe,8192,de-p,mrr,0.3440583724575243
DE,bpe,32768,de,mrr,0.27920268026844935
DE,bpe,49152,de,mrr,0.26440118867804796
DE,bpe,65536,de,mrr,0.25716523738553826
DE,bpe,81920,de,mrr,0.25436811731976916
DE,bpe,8192,de,mrr,0.3559740751996988
EN,bpe,32768,en,mrr,0.2553687061315097
EN,bpe,49152,en,mrr,0.2512581121587954
EN,bpe,65536,en,mrr,0.24955563547581716
EN,bpe,81920,en,mrr,0.24932286287289912
EN,bpe,8192,en,mrr,0.31004862351717477
