lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,1.1938322531465115
AR,bpe,49152,AR,bpb,1.1942062024068032
AR,bpe,65536,AR,bpb,1.1925660068575954
AR,bpe,81920,AR,bpb,1.192671504363763
AR,bpe,8192,AR,bpb,1.201296902092239
DE,bpe,32768,DE,bpb,1.5741262464290529
DE,bpe,49152,DE,bpb,1.5745584814542173
DE,bpe,65536,DE,bpb,1.5721717349835869
DE,bpe,81920,DE,bpb,1.567554150691335
DE,bpe,8192,DE,bpb,1.5817412119263845
DE,superbpe,32768,DE,bpb,1.7879806622486376
DE,superbpe,49152,DE,bpb,1.8207270316267699
DE,superbpe,65536,DE,bpb,1.8380882034689898
DE,superbpe,81920,DE,bpb,1.854468238247504
DE,superbpe,8192,DE,bpb,1.7127513857656254
DE,unigram,32768,DE,bpb,10.090539208525266
DE,unigram,49152,DE,bpb,9.714091264309927
DE,unigram,65536,DE,bpb,9.669122895553704
DE,unigram,81920,DE,bpb,9.354480157337285
DE,unigram,8192,DE,bpb,10.69451157851866
EN,bpe,32768,EN,bpb,1.707381846617648
EN,bpe,49152,EN,bpb,1.6963619374008474
EN,bpe,65536,EN,bpb,1.6860077755782676
EN,bpe,81920,EN,bpb,1.6768243114542118
EN,bpe,8192,EN,bpb,1.7343910823330688
EN,superbpe,32768,EN,bpb,1.967603186713501
EN,superbpe,49152,EN,bpb,2.018502067164553
EN,superbpe,8192,EN,bpb,1.9203569155275693
EN,unigram,32768,EN,bpb,8.338166754546108
EN,unigram,49152,EN,bpb,7.97013811826741
EN,unigram,65536,EN,bpb,7.426632927179977
EN,unigram,8192,EN,bpb,8.68509238850923
FI,bpe,32768,FI,bpb,1.7083574579698926
FI,bpe,49152,FI,bpb,1.7165390148380488
FI,bpe,65536,FI,bpb,1.7186564751542124
FI,bpe,81920,FI,bpb,1.72468546185646
FI,bpe,8192,FI,bpb,1.6890326234161466
FI,superbpe,32768,FI,bpb,1.8105733600549285
FI,superbpe,49152,FI,bpb,1.8357379034238728
FI,superbpe,65536,FI,bpb,1.852980815175242
FI,superbpe,81920,FI,bpb,1.876150550903878
FI,superbpe,8192,FI,bpb,1.7596821236729132
FI,unigram,32768,FI,bpb,9.819876035288699
FI,unigram,49152,FI,bpb,10.980978500745893
FI,unigram,65536,FI,bpb,10.773593347955284
FI,unigram,81920,FI,bpb,10.643794495231587
FI,unigram,8192,FI,bpb,10.86391079193571
FR,bpe,32768,FR,bpb,1.4729750386183524
FR,bpe,49152,FR,bpb,1.4766454444436194
FR,bpe,65536,FR,bpb,1.4664601655622131
FR,bpe,81920,FR,bpb,1.456833525299446
FR,bpe,8192,FR,bpb,1.4890341546349308
FR,superbpe,32768,FR,bpb,1.8824481574110765
FR,superbpe,49152,FR,bpb,1.9434454834256423
FR,superbpe,65536,FR,bpb,1.9724081410560192
FR,superbpe,8192,FR,bpb,1.7779720540131339
FR,unigram,32768,FR,bpb,9.382006560927481
FR,unigram,49152,FR,bpb,9.287028632404038
FR,unigram,65536,FR,bpb,9.069341360593192
FR,unigram,8192,FR,bpb,8.884379421839393
KO,bpe,32768,KO,bpb,1.5692795400985151
KO,bpe,49152,KO,bpb,1.567294319619602
KO,bpe,65536,KO,bpb,1.576375192293823
KO,bpe,81920,KO,bpb,1.5787265760485454
KO,bpe,8192,KO,bpb,1.5632526435205596
PL,bpe,32768,PL,bpb,1.7030719515961898
PL,bpe,49152,PL,bpb,1.7068762747865527
PL,bpe,65536,PL,bpb,1.7130071147682242
PL,bpe,81920,PL,bpb,1.7150601545026825
PL,bpe,8192,PL,bpb,1.7000134757478407
RU,bpe,32768,RU,bpb,0.9549884585583372
RU,bpe,49152,RU,bpb,0.9540614792885816
RU,bpe,65536,RU,bpb,0.9596916616469535
RU,bpe,81920,RU,bpb,0.958709795535278
RU,bpe,8192,RU,bpb,0.95498253006711
RU,superbpe,32768,RU,bpb,1.037544110509786
RU,superbpe,49152,RU,bpb,1.0484613957229725
RU,superbpe,65536,RU,bpb,1.0599438066626132
RU,superbpe,81920,RU,bpb,1.0754737722742287
RU,superbpe,8192,RU,bpb,1.0048832650910582
RU,unigram,32768,RU,bpb,7.834751733426863
RU,unigram,49152,RU,bpb,7.17106739388605
RU,unigram,65536,RU,bpb,7.542241067916717
RU,unigram,81920,RU,bpb,7.756070707833968
RU,unigram,8192,RU,bpb,6.869935882415362
TR,bpe,32768,TR,bpb,1.5922398144773107
TR,bpe,49152,TR,bpb,1.5976225610258261
TR,bpe,65536,TR,bpb,1.5974620703396698
TR,bpe,81920,TR,bpb,1.598707558814478
TR,bpe,8192,TR,bpb,1.5894873458983083
TR,superbpe,32768,TR,bpb,1.716332942152878
TR,superbpe,49152,TR,bpb,1.7356490978553005
TR,superbpe,65536,TR,bpb,1.7560618850719425
TR,superbpe,81920,TR,bpb,1.768713673699924
TR,superbpe,8192,TR,bpb,1.67655717398043
ZH,bpe,32768,ZH,bpb,2.0298424312421983
ZH,bpe,49152,ZH,bpb,2.049468721283506
