lang,tokenization,vocab_size,eval_data,metric_type,mean_value
AR,bpe,32768,AR,bpb,1.25351052056155
AR,bpe,49152,AR,bpb,1.2503171245098028
AR,bpe,65536,AR,bpb,1.2484706393411025
AR,bpe,81920,AR,bpb,1.2501490038093603
AR,bpe,8192,AR,bpb,1.2662021245762511
DE,bpe,32768,DE,bpb,1.593751588138616
DE,bpe,49152,DE,bpb,1.5965085311040015
DE,bpe,65536,DE,bpb,1.5972174117295639
DE,bpe,81920,DE,bpb,1.5916911168024999
DE,bpe,8192,DE,bpb,1.6070947970402634
EN,bpe,32768,EN,bpb,1.7304111605300512
EN,bpe,49152,EN,bpb,1.724568178587349
EN,bpe,65536,EN,bpb,1.7158458385907633
EN,bpe,81920,EN,bpb,1.7058326132741195
EN,bpe,8192,EN,bpb,1.756337842025442
FI,bpe,32768,FI,bpb,1.7139874719332564
FI,bpe,49152,FI,bpb,1.72022004686336
FI,bpe,65536,FI,bpb,1.7292954244372232
FI,bpe,81920,FI,bpb,1.7315909237804588
FI,bpe,8192,FI,bpb,1.7069814157742051
FR,bpe,32768,FR,bpb,1.4843344875570632
FR,bpe,49152,FR,bpb,1.483336958673735
FR,bpe,65536,FR,bpb,1.4777225443438358
FR,bpe,81920,FR,bpb,1.4712814548029252
FR,bpe,8192,FR,bpb,1.5073125403173595
KO,bpe,32768,KO,bpb,1.6588281374670217
KO,bpe,49152,KO,bpb,1.6551607767632643
KO,bpe,65536,KO,bpb,1.6511239685938326
KO,bpe,81920,KO,bpb,1.6552324825403577
KO,bpe,8192,KO,bpb,1.6599903305151564
PL,bpe,32768,PL,bpb,1.746353686065776
PL,bpe,49152,PL,bpb,1.7495274388322155
PL,bpe,65536,PL,bpb,1.7544533339014634
PL,bpe,81920,PL,bpb,1.7558209989497682
PL,bpe,8192,PL,bpb,1.74277870124674
RU,bpe,32768,RU,bpb,0.9652783932324317
RU,bpe,49152,RU,bpb,0.9606779388690456
RU,bpe,65536,RU,bpb,0.9679389260536282
RU,bpe,81920,RU,bpb,0.9645938481095411
RU,bpe,8192,RU,bpb,0.9703610053703736
TR,bpe,32768,TR,bpb,1.5927308951081263
TR,bpe,49152,TR,bpb,1.5965554600187766
TR,bpe,65536,TR,bpb,1.5952677901317562
TR,bpe,81920,TR,bpb,1.5919099920555022
TR,bpe,8192,TR,bpb,1.5914281884629358
ZH,bpe,32768,ZH,bpb,1.9791990968417899
ZH,bpe,49152,ZH,bpb,1.9937488524079199
ZH,bpe,65536,ZH,bpb,2.001608348690451
ZH,bpe,81920,ZH,bpb,2.008470817139499
ZH,bpe,8192,ZH,bpb,1.969024436014044
AR,bpe,32768,AR,cpb,2.2623876875520943
AR,bpe,49152,AR,cpb,2.256792439593169
AR,bpe,65536,AR,cpb,2.2534059430749913
AR,bpe,81920,AR,cpb,2.2564604581109777
AR,bpe,8192,AR,cpb,2.285260989532993
DE,bpe,32768,DE,cpb,1.6214827860783056
DE,bpe,49152,DE,cpb,1.62433879635354
DE,bpe,65536,DE,cpb,1.6251143479130747
DE,bpe,81920,DE,cpb,1.6195505316629975
DE,bpe,8192,DE,cpb,1.6350781838592143
EN,bpe,32768,EN,cpb,1.736796002908569
EN,bpe,49152,EN,cpb,1.730948976235988
EN,bpe,65536,EN,cpb,1.7222442256040937
EN,bpe,81920,EN,cpb,1.712309223627838
EN,bpe,8192,EN,cpb,1.7627045169757638
FI,bpe,32768,FI,cpb,1.7860341493264604
FI,bpe,49152,FI,cpb,1.792461663051226
FI,bpe,65536,FI,cpb,1.8018185802213065
FI,bpe,81920,FI,cpb,1.8042090405147329
FI,bpe,8192,FI,cpb,1.7787181961807654
FR,bpe,32768,FR,cpb,1.5442046605943467
FR,bpe,49152,FR,cpb,1.5430975304247867
FR,bpe,65536,FR,cpb,1.537321928959544
FR,bpe,81920,FR,cpb,1.5306330073817607
FR,bpe,8192,FR,cpb,1.568120821257744
KO,bpe,32768,KO,cpb,4.032325955401747
KO,bpe,49152,KO,cpb,4.023167515076702
KO,bpe,65536,KO,cpb,4.012791347569509
KO,bpe,81920,KO,cpb,4.022735546904233
KO,bpe,8192,KO,cpb,4.034979068719119
PL,bpe,32768,PL,cpb,1.8572353503969334
PL,bpe,49152,PL,cpb,1.8608530816593065
PL,bpe,65536,PL,cpb,1.8660892342529223
PL,bpe,81920,PL,cpb,1.8674958094230534
PL,bpe,8192,PL,cpb,1.8534715506659174
RU,bpe,32768,RU,cpb,1.7554259268896075
RU,bpe,49152,RU,cpb,1.747030675860713
RU,bpe,65536,RU,cpb,1.760231512803345
RU,bpe,81920,RU,cpb,1.7541223004601292
RU,bpe,8192,RU,cpb,1.7644871793995178
TR,bpe,32768,TR,cpb,1.7333313078817987
TR,bpe,49152,TR,cpb,1.7374928230538562
TR,bpe,65536,TR,cpb,1.7361787290971091
TR,bpe,81920,TR,cpb,1.73247789737093
TR,bpe,8192,TR,cpb,1.7318249455959571
ZH,bpe,32768,ZH,cpb,5.634646283902439
ZH,bpe,49152,ZH,cpb,5.676271208589221
ZH,bpe,65536,ZH,cpb,5.697238791047285
ZH,bpe,81920,ZH,cpb,5.7176094407201195
ZH,bpe,8192,ZH,cpb,5.605066597834355
AR,bpe,32768,AR,mrr,0.20289175477944016
AR,bpe,49152,AR,mrr,0.1876322199928502
AR,bpe,65536,AR,mrr,0.179679162104385
AR,bpe,81920,AR,mrr,0.17357736027859363
AR,bpe,8192,AR,mrr,0.2736342275150079
DE,bpe,32768,DE,mrr,0.2738761404652597
DE,bpe,49152,DE,mrr,0.256741631310477
DE,bpe,65536,DE,mrr,0.24750140510667465
DE,bpe,81920,DE,mrr,0.24639662385144045
DE,bpe,8192,DE,mrr,0.35521404251269223
EN,bpe,32768,EN,mrr,0.2782563294763476
EN,bpe,49152,EN,mrr,0.2702130461488016
EN,bpe,65536,EN,mrr,0.2701056208179493
EN,bpe,81920,EN,mrr,0.27306032603443103
EN,bpe,8192,EN,mrr,0.33647793217146693
FI,bpe,32768,FI,mrr,0.26592720542860515
FI,bpe,49152,FI,mrr,0.24809296156833216
FI,bpe,65536,FI,mrr,0.22975367245619932
FI,bpe,81920,FI,mrr,0.21654336258883553
FI,bpe,8192,FI,mrr,0.3511012344352866
FR,bpe,32768,FR,mrr,0.33155559798956447
FR,bpe,49152,FR,mrr,0.3176076804464747
FR,bpe,65536,FR,mrr,0.3140928022997248
FR,bpe,81920,FR,mrr,0.3107509832371445
FR,bpe,8192,FR,mrr,0.4001514843346242
KO,bpe,32768,KO,mrr,0.16590344569152296
KO,bpe,49152,KO,mrr,0.14982291355168967
KO,bpe,65536,KO,mrr,0.1382809501708639
KO,bpe,81920,KO,mrr,0.13095621572217578
KO,bpe,8192,KO,mrr,0.2543204817226496
PL,bpe,32768,PL,mrr,0.2878064477206371
PL,bpe,49152,PL,mrr,0.2607470392591966
PL,bpe,65536,PL,mrr,0.2425235103185511
PL,bpe,81920,PL,mrr,0.23266322666874298
PL,bpe,8192,PL,mrr,0.37922108393556847
