,Sentences,Epoch-10
0,너희도 좀 하는군,0.027759355263909002
1,- 무슨 말인지 알아요,0.04993139889184514
2,멋진 일을 하고 있는 30명의 기업가들이에요,0.23527552583600736
3,나한테 먼저 물어봤어야지.,0.08969594594594595
4,이제까지 거짓말만 했는데,0.01480964675482333
5,(윤태) 지금 우리 놀리는 거야?,0.39689241818978205
6,그럼 간다고 연락하시죠,0.0057168062244204385
7,"스쿼럴, 스쿼럴 네 불알은 어디 있어?",0.23454815786577168
8,"- 전설을 맛보다"" 아빠, 이 식당은 리뷰 앱에서 별점이 0점이라니까요",0.1829115010572313
9,나한테서 도망치지 마,0.3336261952937524
10,매직이 공을 경기장 위로 던지더니 막 소리치는 거예요,0.06525593940814554
11,"자네랑 얘기를 한 다음, 스티브 자식을 찾아나섰지... 그가 한 짓을 꾸짖고 좀 때려줄려고 말이지",0.15075421869214142
12,"잠깐만요, 제가...",0.1975671750181554
13,걔가 지 불알 두 쪽을 같이 녹이려고 했대도 난 신경도 안쓰거든,0.08883474494418844
14,5명이 투입됐다고,0.01724705304518664
15,- 연락할게요,4.8383975227404685e-05
16,근데 왜 거짓말하게 뒀어?,0.23671802121650573
17,얘기가 다르잖아요,0.444507623620588
18,그 말을 하자마자 애가 뛰어갔어요,0.041035471970528
19,지금 할 얘기는 그것보다 더 놀라울걸요,0.17419100051299818
20,얘기 많이 들었어요,0.05682137834036568
21,경주의 우승도 신에게 달렸어,0.02178278325939754
22,증오는 짐이에요,0.030472536490303233
23,"기회, 일자리 의료나 교육 같은 기본적인 서비스 결핍에 맞서 싸워야 합니다",0.20097044796125305
24,[홀로 음성] 메신저와 온라인 뱅킹 기능이 있습니다,0.3569816237085955
25,(지원) 난 이거 써서 없어,0.1736482471036663
26,출처가 없으면 무작위 살인 사건처럼 보이겠지,0.18557265782875432
27,키 큰 참가자요,0.010718533792999621
28,넌 진짜다,0.005165071809070449
29,내가 있을 곳은 사무실인데,0.14289166189283076
30,그냥 경기잖아요,0.003208824336969982
31,"- (민영) 95%의 그거를 자랑하는데  - (종민) 아, 그렇지",0.39823679642334714
32,그런 말 있잖아요,0.0036808917393851563
33,"- 아무것도, 문제될건 없죠",0.058439175923820606
34,이 둘은 사일로를 위해 헌신했어요 매일 우리가 그러는 것처럼요,0.24268376293238828
35,"이봐, 내 아내 어디 있어?",0.3389293159795973
36,내가 가장 좋아하는 FBI 친구 아니신가.,0.2434949715857622
37,방문 시간은 9시까지예요,0.02802126995282591
38,대프니 드레스가 찢어져서 쳐다본 거 아니에요?,0.14848163904602735
39,검사 결과가 늘 마찬가지야,0.005286654810110483
40,수목 한계선까지 내려가봅시다,0.1920592957971576
41,세상에 나 기분 되게 좋아,0.0885305794943105
42,이걸 가지러 다시 와,0.16954337290471744
43,이에 더러운 귀신 들린 어린 딸을 둔 한 여자가 예수의 소문을 듣고 곧 와서 그 발 아래 엎드리니,0.17783675431314636
44,우리가 포커판에 앉아 있다고 치고 카지노의 돈을 따야 한다고요,0.04909260370157646
45,이젠 셀 수도 없어,0.27058384103804295
46,네 불안의 근본 원인을 찾아내볼까 했어,0.11392095118093752
47,피곤해 죽겠어,0.01305011854534586
48,- 저희도 갈까요?,0.3333743154850037
49,이거 하려고.,0.02660555234444632
50,안전을 중요시한다면 난간과 경사로도 많아서 좋네,0.12348075680948813
51,경영 대학원 친구들도 다 진로를 정했어요,0.26659924169474336
52,그냥... 잊어버려,0.0163188576187327
53,놀라운 일 생길 거야,0.3342341686091686
54,- 모자까지,0.006128729159128021
55,"호크 2, 구조 중단 즉시 복귀할 것",0.10054967579859372
56,"알았어, 금고문을 열려고 했는데 레이저가 문을 쏘고 있어",0.3237412086474695
57,할아버지 친구라고 하는 여자의 아주 큰 저택에 있어요,0.08904639720413061
58,언젠간 나도 죽게 될 거야,0.3410025371567877
59,가짜라도 가지는 게 의미가 있나요?,0.29030309021567546
60,노동만으로는 다만 살아갈 뿐 인생을 누리지 못한단 걸 아버지는 아셨죠,0.10815846199899107
61,- 빌어먹을 월요일이군 - 그래,0.08702516225697818
62,당신은... 우울한 사람이야,0.07313051843630412
